tof posE posN posU tgtE tgtN tgtU
0.001 0.0640782 0.0640782 0.338065 3000 3000 3000
0.002 0.12818 0.12818 0.676121 3000 3000 3000
0.003 0.192306 0.192306 1.01417 3000 3000 3000
0.004 0.256455 0.256455 1.35221 3000 3000 3000
0.005 0.320628 0.320628 1.69024 3000 3000 3000
0.006 0.384825 0.384825 2.02826 3000 3000 3000
0.007 0.449046 0.449046 2.36627 3000 3000 3000
0.008 0.51329 0.51329 2.70427 3000 3000 3000
0.009 0.577559 0.577559 3.04226 3000 3000 3000
0.01 0.641851 0.641851 3.38024 3000 3000 3000
0.011 0.706166 0.706166 3.71822 3000 3000 3000
0.012 0.770506 0.770506 4.05619 3000 3000 3000
0.013 0.834869 0.834869 4.39414 3000 3000 3000
0.014 0.899256 0.899256 4.73209 3000 3000 3000
0.015 0.963666 0.963666 5.07003 3000 3000 3000
0.016 1.0281 1.0281 5.40796 3000 3000 3000
0.017 1.09256 1.09256 5.74588 3000 3000 3000
0.018 1.15704 1.15704 6.08379 3000 3000 3000
0.019 1.22155 1.22155 6.42169 3000 3000 3000
0.02 1.28608 1.28608 6.75959 3000 3000 3000
0.021 1.35063 1.35063 7.09747 3000 3000 3000
0.022 1.41521 1.41521 7.43535 3000 3000 3000
0.023 1.47981 1.47981 7.77321 3000 3000 3000
0.024 1.54443 1.54443 8.11107 3000 3000 3000
0.025 1.60908 1.60908 8.44892 3000 3000 3000
0.026 1.67375 1.67375 8.78676 3000 3000 3000
0.027 1.73845 1.73845 9.12459 3000 3000 3000
0.028 1.80317 1.80317 9.46241 3000 3000 3000
0.029 1.86791 1.86791 9.80022 3000 3000 3000
0.03 1.93268 1.93268 10.138 3000 3000 3000
0.031 1.99747 1.99747 10.4758 3000 3000 3000
0.032 2.06228 2.06228 10.8136 3000 3000 3000
0.033 2.12712 2.12712 11.1514 3000 3000 3000
0.034 2.19198 2.19198 11.4891 3000 3000 3000
0.035 2.25687 2.25687 11.8269 3000 3000 3000
0.036 2.32178 2.32178 12.1646 3000 3000 3000
0.037 2.38671 2.38671 12.5024 3000 3000 3000
0.038 2.45167 2.45167 12.8401 3000 3000 3000
0.039 2.51665 2.51665 13.1778 3000 3000 3000
0.04 2.58165 2.58165 13.5155 3000 3000 3000
0.041 2.64668 2.64668 13.8532 3000 3000 3000
0.042 2.71173 2.71173 14.1909 3000 3000 3000
0.043 2.77681 2.77681 14.5286 3000 3000 3000
0.044 2.84191 2.84191 14.8663 3000 3000 3000
0.045 2.90703 2.90703 15.204 3000 3000 3000
0.046 2.97218 2.97218 15.5416 3000 3000 3000
0.047 3.03735 3.03735 15.8793 3000 3000 3000
0.048 3.10254 3.10254 16.2169 3000 3000 3000
0.049 3.16776 3.16776 16.5545 3000 3000 3000
0.05 3.233 3.233 16.8922 3000 3000 3000
