tof posE posN posU tgtE tgtN tgtU
0.001 0.064199 0.0640952 0.338039 3000 3000 3000
0.002 0.128542 0.128231 0.676043 3000 3000 3000
0.003 0.19303 0.192408 1.01401 3000 3000 3000
0.004 0.257661 0.256626 1.35194 3000 3000 3000
0.005 0.322435 0.320885 1.68984 3000 3000 3000
0.006 0.387352 0.385185 2.02771 3000 3000 3000
0.007 0.452412 0.449526 2.36553 3000 3000 3000
0.008 0.517614 0.513909 2.70333 3000 3000 3000
0.009 0.582959 0.578333 3.04108 3000 3000 3000
0.01 0.648445 0.642798 3.3788 3000 3000 3000
0.011 0.714073 0.707305 3.71649 3000 3000 3000
0.012 0.779842 0.771854 4.05414 3000 3000 3000
0.013 0.845752 0.836445 4.39176 3000 3000 3000
0.014 0.911802 0.901077 4.72934 3000 3000 3000
0.015 0.977993 0.965751 5.06688 3000 3000 3000
0.016 1.04432 1.03047 5.40439 3000 3000 3000
0.017 1.11079 1.09523 5.74187 3000 3000 3000
0.018 1.1774 1.16003 6.0793 3000 3000 3000
0.019 1.24415 1.22487 6.41671 3000 3000 3000
0.02 1.31104 1.28975 6.75407 3000 3000 3000
0.021 1.37807 1.35468 7.0914 3000 3000 3000
0.022 1.44523 1.41965 7.4287 3000 3000 3000
0.023 1.51253 1.48466 7.76596 3000 3000 3000
0.024 1.57997 1.54972 8.10318 3000 3000 3000
0.025 1.64755 1.61482 8.44037 3000 3000 3000
0.026 1.71527 1.67996 8.77752 3000 3000 3000
0.027 1.78312 1.74514 9.11464 3000 3000 3000
0.028 1.85111 1.81037 9.45172 3000 3000 3000
0.029 1.91923 1.87564 9.78877 3000 3000 3000
0.03 1.98749 1.94095 10.1258 3000 3000 3000
0.031 2.05589 2.00631 10.4628 3000 3000 3000
0.032 2.12442 2.07171 10.7997 3000 3000 3000
0.033 2.19309 2.13715 11.1366 3000 3000 3000
0.034 2.26189 2.20263 11.4735 3000 3000 3000
0.035 2.33082 2.26816 11.8103 3000 3000 3000
0.036 2.39989 2.33374 12.1471 3000 3000 3000
0.037 2.4691 2.39935 12.4838 3000 3000 3000
0.038 2.53844 2.46501 12.8206 3000 3000 3000
0.039 2.60791 2.53072 13.1572 3000 3000 3000
0.04 2.67752 2.59646 13.4939 3000 3000 3000
0.041 2.74725 2.66225 13.8305 3000 3000 3000
0.042 2.81713 2.72809 14.1671 3000 3000 3000
0.043 2.88713 2.79397 14.5036 3000 3000 3000
0.044 2.95727 2.85989 14.8401 3000 3000 3000
0.045 3.02753 2.92586 15.1766 3000 3000 3000
0.046 3.09793 2.99187 15.513 3000 3000 3000
0.047 3.16847 3.05793 15.8494 3000 3000 3000
0.048 3.23913 3.12403 16.1858 3000 3000 3000
0.049 3.30992 3.19017 16.5221 3000 3000 3000
0.05 3.38085 3.25636 16.8584 3000 3000 3000
0.051 3.4519 3.3226 17.1947 3000 3000 3000
0.052 3.52309 3.38887 17.5309 3000 3000 3000
0.053 3.5944 3.4552 17.8671 3000 3000 3000
0.054 3.66585 3.52156 18.2032 3000 3000 3000
0.055 3.73742 3.58798 18.5393 3000 3000 3000
0.056 3.80912 3.65443 18.8754 3000 3000 3000
0.057 3.88096 3.72094 19.2114 3000 3000 3000
0.058 3.95292 3.78748 19.5474 3000 3000 3000
0.059 4.02501 3.85407 19.8834 3000 3000 3000
0.06 4.09723 3.92071 20.2193 3000 3000 3000
0.061 4.16957 3.98739 20.5552 3000 3000 3000
0.062 4.24205 4.05412 20.891 3000 3000 3000
0.063 4.31465 4.12089 21.2269 3000 3000 3000
0.064 4.38738 4.18771 21.5626 3000 3000 3000
0.065 4.46023 4.25457 21.8984 3000 3000 3000
0.066 4.53321 4.32148 22.2341 3000 3000 3000
0.067 4.60632 4.38844 22.5697 3000 3000 3000
0.068 4.67956 4.45544 22.9054 3000 3000 3000
0.069 4.75292 4.52248 23.241 3000 3000 3000
0.07 4.82641 4.58957 23.5765 3000 3000 3000
0.071 4.90002 4.65671 23.9121 3000 3000 3000
0.072 4.97376 4.72389 24.2475 3000 3000 3000
0.073 5.04762 4.79112 24.583 3000 3000 3000
0.074 5.12161 4.85839 24.9184 3000 3000 3000
0.075 5.19573 4.92571 25.2538 3000 3000 3000
0.076 5.26996 4.99308 25.5891 3000 3000 3000
0.077 5.34433 5.06049 25.9244 3000 3000 3000
0.078 5.41881 5.12794 26.2597 3000 3000 3000
0.079 5.49342 5.19545 26.5949 3000 3000 3000
0.08 5.56816 5.263 26.9301 3000 3000 3000
0.081 5.64302 5.33059 27.2653 3000 3000 3000
0.082 5.718 5.39823 27.6004 3000 3000 3000
0.083 5.7931 5.46592 27.9355 3000 3000 3000
0.084 5.86833 5.53365 28.2705 3000 3000 3000
0.085 5.94368 5.60144 28.6055 3000 3000 3000
0.086 6.01915 5.66926 28.9405 3000 3000 3000
0.087 6.09474 5.73714 29.2754 3000 3000 3000
0.088 6.17046 5.80506 29.6103 3000 3000 3000
0.089 6.24629 5.87302 29.9452 3000 3000 3000
0.09 6.32225 5.94103 30.28 3000 3000 3000
0.091 6.39833 6.00909 30.6148 3000 3000 3000
0.092 6.47453 6.0772 30.9495 3000 3000 3000
0.093 6.55085 6.14535 31.2842 3000 3000 3000
0.094 6.6273 6.21355 31.6189 3000 3000 3000
0.095 6.70386 6.2818 31.9536 3000 3000 3000
0.096 6.78054 6.35009 32.2882 3000 3000 3000
0.097 6.85734 6.41843 32.6227 3000 3000 3000
0.098 6.93427 6.48682 32.9572 3000 3000 3000
0.099 7.01131 6.55525 33.2917 3000 3000 3000
0.1 7.08847 6.62373 33.6262 3000 3000 3000
0.101 7.16575 6.69226 33.9606 3000 3000 3000
0.102 7.24315 6.76083 34.295 3000 3000 3000
0.103 7.32067 6.82945 34.6293 3000 3000 3000
0.104 7.3983 6.89812 34.9636 3000 3000 3000
0.105 7.47606 6.96684 35.2979 3000 3000 3000
0.106 7.55393 7.0356 35.6321 3000 3000 3000
0.107 7.63192 7.10441 35.9663 3000 3000 3000
0.108 7.71003 7.17327 36.3005 3000 3000 3000
0.109 7.78826 7.24217 36.6346 3000 3000 3000
0.11 7.8666 7.31112 36.9687 3000 3000 3000
0.111 7.94506 7.38012 37.3027 3000 3000 3000
0.112 8.02364 7.44917 37.6367 3000 3000 3000
0.113 8.10234 7.51826 37.9707 3000 3000 3000
0.114 8.18115 7.5874 38.3046 3000 3000 3000
0.115 8.26007 7.65659 38.6385 3000 3000 3000
0.116 8.33912 7.72583 38.9724 3000 3000 3000
0.117 8.41828 7.79511 39.3062 3000 3000 3000
0.118 8.49755 7.86444 39.64 3000 3000 3000
0.119 8.57694 7.93382 39.9737 3000 3000 3000
0.12 8.65645 8.00325 40.3074 3000 3000 3000
0.121 8.73607 8.07272 40.6411 3000 3000 3000
0.122 8.81581 8.14225 40.9747 3000 3000 3000
0.123 8.89566 8.21181 41.3083 3000 3000 3000
0.124 8.97562 8.28143 41.6419 3000 3000 3000
0.125 9.05571 8.3511 41.9754 3000 3000 3000
0.126 9.1359 8.42081 42.3089 3000 3000 3000
0.127 9.21621 8.49057 42.6423 3000 3000 3000
0.128 9.29663 8.56038 42.9758 3000 3000 3000
0.129 9.37717 8.63024 43.3091 3000 3000 3000
0.13 9.45782 8.70014 43.6425 3000 3000 3000
0.131 9.53858 8.77009 43.9758 3000 3000 3000
0.132 9.61946 8.84009 44.309 3000 3000 3000
0.133 9.70045 8.91014 44.6422 3000 3000 3000
0.134 9.78155 8.98024 44.9754 3000 3000 3000
0.135 9.86276 9.05038 45.3086 3000 3000 3000
0.136 9.94409 9.12057 45.6417 3000 3000 3000
0.137 10.0255 9.19081 45.9747 3000 3000 3000
0.138 10.1071 9.2611 46.3078 3000 3000 3000
0.139 10.1887 9.33144 46.6408 3000 3000 3000
0.14 10.2705 9.40182 46.9737 3000 3000 3000
0.141 10.3524 9.47226 47.3067 3000 3000 3000
0.142 10.4344 9.54274 47.6395 3000 3000 3000
0.143 10.5165 9.61327 47.9724 3000 3000 3000
0.144 10.5987 9.68384 48.3052 3000 3000 3000
0.145 10.6811 9.75447 48.638 3000 3000 3000
0.146 10.7635 9.82514 48.9707 3000 3000 3000
0.147 10.8461 9.89587 49.3034 3000 3000 3000
0.148 10.9287 9.96664 49.6361 3000 3000 3000
0.149 11.0115 10.0375 49.9687 3000 3000 3000
0.15 11.0944 10.1083 50.3013 3000 3000 3000
0.151 11.1774 10.1792 50.6338 3000 3000 3000
0.152 11.2605 10.2502 50.9663 3000 3000 3000
0.153 11.3437 10.3212 51.2988 3000 3000 3000
0.154 11.427 10.3923 51.6312 3000 3000 3000
0.155 11.5104 10.4634 51.9636 3000 3000 3000
0.156 11.594 10.5345 52.296 3000 3000 3000
0.157 11.6776 10.6057 52.6283 3000 3000 3000
0.158 11.7614 10.677 52.9606 3000 3000 3000
0.159 11.8452 10.7483 53.2928 3000 3000 3000
0.16 11.9292 10.8197 53.625 3000 3000 3000
0.161 12.0133 10.8911 53.9572 3000 3000 3000
0.162 12.0975 10.9625 54.2893 3000 3000 3000
0.163 12.1818 11.034 54.6214 3000 3000 3000
