tof posE posN posU tgtE tgtN tgtU
0.001 0.0640639 0.0640519 0.338073 12500 0 12500
0.002 0.128137 0.128101 0.676144 12500 0 12500
0.003 0.19222 0.192148 1.01421 12500 0 12500
0.004 0.256312 0.256193 1.35228 12500 0 12500
0.005 0.320414 0.320235 1.69035 12500 0 12500
0.006 0.384525 0.384274 2.02842 12500 0 12500
0.007 0.448645 0.448311 2.36648 12500 0 12500
0.008 0.512775 0.512345 2.70455 12500 0 12500
0.009 0.576914 0.576377 3.04261 12500 0 12500
0.01 0.641063 0.640406 3.38067 12500 0 12500
0.011 0.705221 0.704433 3.71873 12500 0 12500
0.012 0.769389 0.768457 4.05679 12500 0 12500
0.013 0.833566 0.832479 4.39484 12500 0 12500
0.014 0.897753 0.896499 4.7329 12500 0 12500
0.015 0.961948 0.960515 5.07095 12500 0 12500
0.016 1.02615 1.02453 5.40901 12500 0 12500
0.017 1.09037 1.08854 5.74706 12500 0 12500
0.018 1.15459 1.15255 6.08511 12500 0 12500
0.019 1.21883 1.21656 6.42316 12500 0 12500
0.02 1.28307 1.28056 6.76121 12500 0 12500
0.021 1.34732 1.34456 7.09925 12500 0 12500
0.022 1.41158 1.40856 7.4373 12500 0 12500
0.023 1.47586 1.47256 7.77534 12500 0 12500
0.024 1.54014 1.53655 8.11338 12500 0 12500
0.025 1.60443 1.60054 8.45142 12500 0 12500
0.026 1.66873 1.66453 8.78946 12500 0 12500
0.027 1.73304 1.72852 9.1275 12500 0 12500
0.028 1.79735 1.7925 9.46554 12500 0 12500
0.029 1.86168 1.85649 9.80358 12500 0 12500
0.03 1.92602 1.92047 10.1416 12500 0 12500
0.031 1.99037 1.98444 10.4796 12500 0 12500
0.032 2.05472 2.04842 10.8177 12500 0 12500
0.033 2.11909 2.11239 11.1557 12500 0 12500
0.034 2.18346 2.17636 11.4937 12500 0 12500
0.035 2.24785 2.24032 11.8318 12500 0 12500
0.036 2.31224 2.30429 12.1698 12500 0 12500
0.037 2.37664 2.36825 12.5078 12500 0 12500
0.038 2.44106 2.43221 12.8458 12500 0 12500
0.039 2.50548 2.49616 13.1839 12500 0 12500
0.04 2.56991 2.56012 13.5219 12500 0 12500
0.041 2.63435 2.62407 13.8599 12500 0 12500
0.042 2.6988 2.68802 14.1979 12500 0 12500
0.043 2.76326 2.75196 14.5359 12500 0 12500
0.044 2.82773 2.81591 14.874 12500 0 12500
0.045 2.89221 2.87985 15.212 12500 0 12500
0.046 2.9567 2.94379 15.55 12500 0 12500
0.047 3.0212 3.00773 15.888 12500 0 12500
0.048 3.0857 3.07166 16.226 12500 0 12500
0.049 3.15022 3.13559 16.564 12500 0 12500
0.05 3.21475 3.19952 16.902 12500 0 12500
0.051 3.27928 3.26345 17.24 12500 0 12500
0.052 3.34383 3.32737 17.578 12500 0 12500
0.053 3.40838 3.39129 17.916 12500 0 12500
0.054 3.47295 3.45521 18.254 12500 0 12500
0.055 3.53752 3.51913 18.592 12500 0 12500
0.056 3.6021 3.58304 18.93 12500 0 12500
0.057 3.66669 3.64695 19.268 12500 0 12500
0.058 3.73129 3.71086 19.606 12500 0 12500
0.059 3.79591 3.77477 19.944 12500 0 12500
0.06 3.86053 3.83867 20.282 12500 0 12500
0.061 3.92516 3.90257 20.62 12500 0 12500
0.062 3.9898 3.96647 20.958 12500 0 12500
0.063 4.05444 4.03036 21.296 12500 0 12500
0.064 4.1191 4.09426 21.634 12500 0 12500
0.065 4.18377 4.15815 21.972 12500 0 12500
0.066 4.24845 4.22204 22.31 12500 0 12500
0.067 4.31313 4.28592 22.648 12500 0 12500
0.068 4.37783 4.34981 22.9859 12500 0 12500
0.069 4.44253 4.41369 23.3239 12500 0 12500
0.07 4.50725 4.47757 23.6619 12500 0 12500
0.071 4.57197 4.54144 23.9999 12500 0 12500
0.072 4.63671 4.60532 24.3379 12500 0 12500
0.073 4.70145 4.66919 24.6758 12500 0 12500
0.074 4.7662 4.73306 25.0138 12500 0 12500
0.075 4.83096 4.79692 25.3518 12500 0 12500
0.076 4.89573 4.86079 25.6898 12500 0 12500
0.077 4.96051 4.92465 26.0277 12500 0 12500
0.078 5.0253 4.9885 26.3657 12500 0 12500
0.079 5.0901 5.05236 26.7037 12500 0 12500
0.08 5.15491 5.11621 27.0417 12500 0 12500
0.081 5.21973 5.18006 27.3796 12500 0 12500
0.082 5.28456 5.24391 27.7176 12500 0 12500
0.083 5.3494 5.30776 28.0555 12500 0 12500
0.084 5.41424 5.3716 28.3935 12500 0 12500
0.085 5.4791 5.43544 28.7315 12500 0 12500
0.086 5.54396 5.49928 29.0694 12500 0 12500
0.087 5.60884 5.56312 29.4074 12500 0 12500
0.088 5.67372 5.62695 29.7453 12500 0 12500
0.089 5.73862 5.69078 30.0833 12500 0 12500
0.09 5.80352 5.75461 30.4213 12500 0 12500
0.091 5.86843 5.81843 30.7592 12500 0 12500
0.092 5.93336 5.88226 31.0972 12500 0 12500
0.093 5.99829 5.94608 31.4351 12500 0 12500
0.094 6.06323 6.0099 31.7731 12500 0 12500
0.095 6.12818 6.07371 32.111 12500 0 12500
0.096 6.19314 6.13753 32.449 12500 0 12500
0.097 6.25811 6.20134 32.7869 12500 0 12500
0.098 6.32309 6.26514 33.1249 12500 0 12500
0.099 6.38807 6.32895 33.4628 12500 0 12500
0.1 6.45307 6.39275 33.8007 12500 0 12500
0.101 6.51808 6.45655 34.1387 12500 0 12500
0.102 6.5831 6.52035 34.4766 12500 0 12500
0.103 6.64812 6.58415 34.8146 12500 0 12500
0.104 6.71316 6.64794 35.1525 12500 0 12500
0.105 6.7782 6.71173 35.4904 12500 0 12500
0.106 6.84326 6.77552 35.8284 12500 0 12500
0.107 6.90832 6.8393 36.1663 12500 0 12500
0.108 6.97339 6.90309 36.5042 12500 0 12500
0.109 7.03847 6.96687 36.8422 12500 0 12500
0.11 7.10357 7.03064 37.1801 12500 0 12500
0.111 7.16867 7.09442 37.518 12500 0 12500
0.112 7.23378 7.15819 37.8559 12500 0 12500
0.113 7.2989 7.22196 38.1939 12500 0 12500
0.114 7.36403 7.28573 38.5318 12500 0 12500
0.115 7.42917 7.3495 38.8697 12500 0 12500
0.116 7.49432 7.41326 39.2076 12500 0 12500
0.117 7.55947 7.47702 39.5455 12500 0 12500
0.118 7.62464 7.54078 39.8835 12500 0 12500
0.119 7.68982 7.60453 40.2214 12500 0 12500
