tof posE posN posU tgtE tgtN tgtU
0.001 0.0640656 0.0640515 0.338072 10527.4 0 10527.4
0.002 0.128142 0.1281 0.676143 10527.4 0 10527.4
0.003 0.192231 0.192145 1.01421 10527.4 0 10527.4
0.004 0.25633 0.256188 1.35228 10527.4 0 10527.4
0.005 0.32044 0.320228 1.69035 10527.4 0 10527.4
0.006 0.384562 0.384264 2.02841 10527.4 0 10527.4
0.007 0.448695 0.448298 2.36647 10527.4 0 10527.4
0.008 0.512839 0.512328 2.70454 10527.4 0 10527.4
0.009 0.576994 0.576356 3.0426 10527.4 0 10527.4
0.01 0.64116 0.64038 3.38065 10527.4 0 10527.4
0.011 0.705338 0.704402 3.71871 10527.4 0 10527.4
0.012 0.769527 0.768421 4.05677 10527.4 0 10527.4
0.013 0.833727 0.832436 4.39482 10527.4 0 10527.4
0.014 0.897938 0.896449 4.73287 10527.4 0 10527.4
0.015 0.962161 0.960459 5.07092 10527.4 0 10527.4
0.016 1.02639 1.02447 5.40897 10527.4 0 10527.4
0.017 1.09064 1.08847 5.74702 10527.4 0 10527.4
0.018 1.15489 1.15247 6.08507 10527.4 0 10527.4
0.019 1.21916 1.21647 6.42311 10527.4 0 10527.4
0.02 1.28344 1.28046 6.76115 10527.4 0 10527.4
0.021 1.34773 1.34445 7.09919 10527.4 0 10527.4
0.022 1.41203 1.40844 7.43723 10527.4 0 10527.4
0.023 1.47634 1.47243 7.77527 10527.4 0 10527.4
0.024 1.54067 1.53641 8.11331 10527.4 0 10527.4
0.025 1.605 1.60039 8.45134 10527.4 0 10527.4
0.026 1.66935 1.66437 8.78938 10527.4 0 10527.4
0.027 1.7337 1.72834 9.12741 10527.4 0 10527.4
0.028 1.79807 1.79231 9.46544 10527.4 0 10527.4
0.029 1.86245 1.85628 9.80347 10527.4 0 10527.4
0.03 1.92684 1.92025 10.1415 10527.4 0 10527.4
0.031 1.99124 1.98421 10.4795 10527.4 0 10527.4
0.032 2.05566 2.04817 10.8175 10527.4 0 10527.4
0.033 2.12008 2.11212 11.1556 10527.4 0 10527.4
0.034 2.18451 2.17608 11.4936 10527.4 0 10527.4
0.035 2.24896 2.24003 11.8316 10527.4 0 10527.4
0.036 2.31342 2.30397 12.1696 10527.4 0 10527.4
0.037 2.37789 2.36792 12.5076 10527.4 0 10527.4
0.038 2.44237 2.43186 12.8457 10527.4 0 10527.4
0.039 2.50686 2.4958 13.1837 10527.4 0 10527.4
0.04 2.57136 2.55973 13.5217 10527.4 0 10527.4
0.041 2.63587 2.62366 13.8597 10527.4 0 10527.4
