TOF RNG ALT THETA RATE ALPHA ALPHADOT RATEDOT WDOT
0.0000 0.0000 1000.0000 0.7854 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 1000.0000 0.7854 0.0000 0.0000 0.0000 0.0000 0.0000
0.0010 0.0071 1000.0071 0.7854 0.0000 0.0023 2.2645 -0.0001 0.0001
0.0020 0.0142 1000.0142 0.7854 -0.0000 0.0045 2.2190 -0.0001 0.0003
0.0030 0.0216 1000.0215 0.7854 -0.0000 0.0067 2.1440 -0.0002 0.0004
0.0040 0.0294 1000.0291 0.7854 -0.0000 0.0088 2.0454 -0.0003 0.0006
0.0050 0.0375 1000.0371 0.7854 -0.0000 0.0108 1.9302 -0.0004 0.0008
0.0060 0.0462 1000.0456 0.7854 -0.0000 0.0127 1.8051 -0.0006 0.0011
0.0070 0.0555 1000.0548 0.7854 -0.0000 0.0144 1.6761 -0.0008 0.0015
0.0080 0.0656 1000.0646 0.7854 -0.0000 0.0160 1.5480 -0.0010 0.0019
0.0090 0.0766 1000.0753 0.7854 -0.0000 0.0175 1.4243 -0.0013 0.0025
0.0100 0.0885 1000.0869 0.7854 -0.0000 0.0189 1.3073 -0.0016 0.0032
0.0110 0.1015 1000.0996 0.7854 -0.0000 0.0201 1.1983 -0.0021 0.0040
0.0120 0.1157 1000.1134 0.7854 -0.0000 0.0213 1.0979 -0.0026 0.0051
0.0130 0.1312 1000.1285 0.7854 -0.0000 0.0223 1.0094 -0.0032 0.0063
0.0140 0.1481 1000.1449 0.7854 -0.0000 0.0233 0.9338 -0.0040 0.0077
0.0150 0.1662 1000.1625 0.7854 -0.0000 0.0242 0.8686 -0.0048 0.0092
0.0160 0.1856 1000.1815 0.7854 -0.0000 0.0251 0.8117 -0.0056 0.0109
0.0170 0.2063 1000.2017 0.7854 -0.0000 0.0258 0.7617 -0.0066 0.0128
0.0180 0.2284 1000.2232 0.7854 -0.0000 0.0266 0.7173 -0.0077 0.0148
0.0190 0.2518 1000.2459 0.7854 -0.0000 0.0273 0.6776 -0.0088 0.0170
0.0200 0.2765 1000.2700 0.7854 -0.0001 0.0279 0.6420 -0.0100 0.0194
0.0210 0.3025 1000.2954 0.7854 -0.0001 0.0286 0.6099 -0.0114 0.0220
0.0220 0.3299 1000.3221 0.7854 -0.0001 0.0292 0.5807 -0.0128 0.0248
0.0230 0.3586 1000.3501 0.7854 -0.0001 0.0297 0.5540 -0.0144 0.0278
0.0240 0.3887 1000.3794 0.7854 -0.0001 0.0303 0.5297 -0.0160 0.0309
0.0250 0.4201 1000.4100 0.7854 -0.0001 0.0308 0.5073 -0.0177 0.0343
0.0260 0.4528 1000.4419 0.7854 -0.0001 0.0313 0.4866 -0.0196 0.0379
0.0270 0.4869 1000.4752 0.7854 -0.0002 0.0318 0.4675 -0.0216 0.0417
0.0280 0.5224 1000.5098 0.7854 -0.0002 0.0322 0.4498 -0.0236 0.0456
0.0290 0.5593 1000.5457 0.7854 -0.0002 0.0327 0.4332 -0.0258 0.0499
0.0300 0.5975 1000.5830 0.7854 -0.0002 0.0331 0.4179 -0.0281 0.0543
0.0310 0.6371 1000.6216 0.7854 -0.0003 0.0335 0.4035 -0.0305 0.0589
0.0320 0.6780 1000.6616 0.7854 -0.0003 0.0339 0.3900 -0.0330 0.0638
0.0330 0.7204 1000.7029 0.7854 -0.0003 0.0343 0.3773 -0.0357 0.0689
0.0340 0.7641 1000.7455 0.7854 -0.0004 0.0346 0.3654 -0.0385 0.0742
0.0350 0.8093 1000.7895 0.7854 -0.0004 0.0350 0.3541 -0.0414 0.0798
0.0360 0.8558 1000.8349 0.7854 -0.0005 0.0354 0.3435 -0.0444 0.0856
0.0370 0.9037 1000.8817 0.7854 -0.0005 0.0357 0.3334 -0.0475 0.0917
0.0380 0.9530 1000.9298 0.7854 -0.0005 0.0360 0.3239 -0.0508 0.0980
0.0390 1.0038 1000.9793 0.7854 -0.0006 0.0363 0.3149 -0.0542 0.1045
0.0400 1.0559 1001.0302 0.7854 -0.0007 0.0367 0.3064 -0.0577 0.1113
0.0410 1.1094 1001.0824 0.7854 -0.0007 0.0370 0.2982 -0.0614 0.1183
0.0420 1.1644 1001.1360 0.7854 -0.0008 0.0372 0.2905 -0.0651 0.1256
0.0430 1.2208 1001.1910 0.7854 -0.0008 0.0375 0.2831 -0.0690 0.1331
0.0440 1.2786 1001.2474 0.7854 -0.0009 0.0378 0.2761 -0.0731 0.1409
0.0450 1.3378 1001.3052 0.7854 -0.0010 0.0381 0.2694 -0.0773 0.1489
0.0460 1.3984 1001.3643 0.7854 -0.0011 0.0384 0.2629 -0.0816 0.1572
0.0470 1.4604 1001.4249 0.7854 -0.0012 0.0386 0.2568 -0.0860 0.1658
0.0480 1.5239 1001.4868 0.7854 -0.0012 0.0389 0.2509 -0.0906 0.1746
0.0490 1.5888 1001.5502 0.7854 -0.0013 0.0391 0.2452 -0.0953 0.1837
0.0500 1.6551 1001.6149 0.7854 -0.0014 0.0394 0.2397 -0.1002 0.1930
0.0510 1.7229 1001.6810 0.7854 -0.0015 0.0396 0.2345 -0.1052 0.2026
0.0520 1.7920 1001.7486 0.7854 -0.0016 0.0398 0.2295 -0.1103 0.2124
0.0530 1.8627 1001.8175 0.7854 -0.0018 0.0401 0.2246 -0.1156 0.2226
0.0540 1.9347 1001.8878 0.7854 -0.0019 0.0403 0.2199 -0.1210 0.2330
0.0550 2.0082 1001.9595 0.7854 -0.0020 0.0405 0.2154 -0.1266 0.2437
0.0560 2.0831 1002.0327 0.7854 -0.0021 0.0407 0.2110 -0.1323 0.2546
0.0570 2.1595 1002.1072 0.7854 -0.0023 0.0409 0.2068 -0.1381 0.2659
0.0580 2.2373 1002.1832 0.7854 -0.0024 0.0411 0.2027 -0.1441 0.2774
0.0590 2.3165 1002.2606 0.7854 -0.0026 0.0413 0.1988 -0.1503 0.2892
0.0600 2.3972 1002.3394 0.7854 -0.0027 0.0415 0.1949 -0.1566 0.3013
0.0610 2.4794 1002.4196 0.7854 -0.0029 0.0417 0.1912 -0.1631 0.3137
0.0620 2.5630 1002.5012 0.7854 -0.0030 0.0419 0.1876 -0.1697 0.3263
0.0630 2.6480 1002.5842 0.7854 -0.0032 0.0421 0.1841 -0.1764 0.3393
0.0640 2.7345 1002.6687 0.7853 -0.0034 0.0423 0.1807 -0.1833 0.3525
0.0650 2.8225 1002.7546 0.7853 -0.0036 0.0424 0.1774 -0.1903 0.3660
0.0660 2.9119 1002.8419 0.7853 -0.0038 0.0426 0.1742 -0.1975 0.3797
0.0670 3.0027 1002.9306 0.7853 -0.0040 0.0428 0.1711 -0.2048 0.3937
0.0680 3.0950 1003.0207 0.7853 -0.0042 0.0430 0.1681 -0.2123 0.4080
0.0690 3.1888 1003.1123 0.7853 -0.0044 0.0431 0.1651 -0.2199 0.4225
0.0700 3.2840 1003.2052 0.7853 -0.0046 0.0433 0.1622 -0.2276 0.4373
0.0710 3.3806 1003.2996 0.7853 -0.0048 0.0435 0.1594 -0.2355 0.4524
0.0720 3.4787 1003.3954 0.7853 -0.0051 0.0436 0.1567 -0.2435 0.4677
0.0730 3.5782 1003.4926 0.7853 -0.0053 0.0438 0.1540 -0.2517 0.4833
0.0740 3.6791 1003.5912 0.7853 -0.0056 0.0439 0.1514 -0.2600 0.4992
0.0750 3.7815 1003.6912 0.7853 -0.0059 0.0441 0.1488 -0.2684 0.5153
0.0760 3.8853 1003.7926 0.7853 -0.0061 0.0442 0.1463 -0.2770 0.5317
0.0770 3.9906 1003.8954 0.7853 -0.0064 0.0444 0.1439 -0.2857 0.5484
0.0780 4.0973 1003.9996 0.7853 -0.0067 0.0445 0.1415 -0.2946 0.5653
0.0790 4.2054 1004.1052 0.7853 -0.0070 0.0446 0.1391 -0.3036 0.5825
0.0800 4.3150 1004.2123 0.7853 -0.0073 0.0448 0.1368 -0.3127 0.5999
0.0810 4.4260 1004.3207 0.7853 -0.0076 0.0449 0.1345 -0.3220 0.6177
0.0820 4.5384 1004.4305 0.7853 -0.0080 0.0451 0.1323 -0.3314 0.6357
0.0830 4.6523 1004.5417 0.7852 -0.0083 0.0452 0.1301 -0.3410 0.6539
0.0840 4.7676 1004.6543 0.7852 -0.0086 0.0453 0.1280 -0.3507 0.6724
0.0850 4.8843 1004.7683 0.7852 -0.0090 0.0454 0.1259 -0.3605 0.6912
0.0860 5.0025 1004.8837 0.7852 -0.0094 0.0456 0.1238 -0.3705 0.7102
0.0870 5.1220 1005.0005 0.7852 -0.0097 0.0457 0.1217 -0.3807 0.7295
0.0880 5.2430 1005.1187 0.7852 -0.0101 0.0458 0.1197 -0.3909 0.7491
0.0890 5.3654 1005.2383 0.7852 -0.0105 0.0459 0.1177 -0.4013 0.7689
0.0900 5.4892 1005.3593 0.7852 -0.0109 0.0460 0.1157 -0.4119 0.7890
0.0910 5.6145 1005.4816 0.7852 -0.0113 0.0462 0.1138 -0.4225 0.8093
0.0920 5.7412 1005.6054 0.7852 -0.0118 0.0463 0.1118 -0.4334 0.8299
0.0930 5.8693 1005.7305 0.7851 -0.0122 0.0464 0.1099 -0.4443 0.8507
0.0940 5.9988 1005.8570 0.7851 -0.0127 0.0465 0.1080 -0.4554 0.8719
0.0950 6.1297 1005.9849 0.7851 -0.0131 0.0466 0.1062 -0.4666 0.8932
0.0960 6.2620 1006.1142 0.7851 -0.0136 0.0467 0.1043 -0.4780 0.9148
0.0970 6.3958 1006.2448 0.7851 -0.0141 0.0468 0.1025 -0.4895 0.9367
0.0980 6.5309 1006.3769 0.7851 -0.0146 0.0469 0.1007 -0.5012 0.9588
0.0990 6.6675 1006.5103 0.7851 -0.0151 0.0470 0.0989 -0.5129 0.9812
0.1000 6.8055 1006.6451 0.7850 -0.0156 0.0471 0.0971 -0.5248 1.0038
0.1010 6.9449 1006.7813 0.7850 -0.0161 0.0472 0.0953 -0.5369 1.0267
0.1020 7.0857 1006.9188 0.7850 -0.0167 0.0473 0.0936 -0.5491 1.0498
0.1030 7.2278 1007.0577 0.7850 -0.0172 0.0474 0.0918 -0.5614 1.0732
0.1040 7.3715 1007.1980 0.7850 -0.0178 0.0475 0.0901 -0.5738 1.0968
0.1050 7.5165 1007.3397 0.7850 -0.0184 0.0476 0.0884 -0.5864 1.1206
0.1060 7.6629 1007.4827 0.7849 -0.0190 0.0477 0.0867 -0.5991 1.1447
0.1070 7.8107 1007.6271 0.7849 -0.0196 0.0477 0.0849 -0.6120 1.1691
0.1080 7.9599 1007.7729 0.7849 -0.0202 0.0478 0.0832 -0.6249 1.1936
0.1090 8.1105 1007.9200 0.7849 -0.0208 0.0479 0.0815 -0.6380 1.2184
0.1100 8.2625 1008.0685 0.7849 -0.0215 0.0480 0.0799 -0.6512 1.2435
0.1110 8.4159 1008.2184 0.7848 -0.0221 0.0481 0.0782 -0.6646 1.2688
0.1120 8.5707 1008.3696 0.7848 -0.0228 0.0481 0.0765 -0.6781 1.2943
0.1130 8.7269 1008.5222 0.7848 -0.0235 0.0482 0.0748 -0.6917 1.3200
0.1140 8.8845 1008.6762 0.7848 -0.0242 0.0483 0.0732 -0.7054 1.3460
0.1150 9.0435 1008.8315 0.7847 -0.0249 0.0484 0.0715 -0.7193 1.3722
0.1160 9.2038 1008.9882 0.7847 -0.0256 0.0484 0.0698 -0.7333 1.3987
0.1170 9.3656 1009.1462 0.7847 -0.0264 0.0485 0.0682 -0.7474 1.4253
0.1180 9.5287 1009.3056 0.7847 -0.0271 0.0486 0.0665 -0.7616 1.4522
0.1190 9.6932 1009.4663 0.7846 -0.0279 0.0486 0.0648 -0.7759 1.4793
0.1200 9.8592 1009.6284 0.7846 -0.0287 0.0487 0.0632 -0.7904 1.5066
0.1210 10.0265 1009.7919 0.7846 -0.0295 0.0488 0.0615 -0.8050 1.5341
0.1220 10.1951 1009.9567 0.7846 -0.0303 0.0488 0.0599 -0.8197 1.5619
