1 input_9_1_1 AGM6 Test Case.asc  Nov 30 2022 21:05:34
  0  0 53
time            vmach_m1        psiblx_m1       thtblx_m1       phiblx_m1       
SBEL1_m1        SBEL2_m1        SBEL3_m1        VBEL1_m1        VBEL2_m1        
VBEL3_m1        mseek_m1        mach_t1         SAEL1_t1        SAEL2_t1        
SAEL3_t1        VAEL1_t1        VAEL2_t1        VAEL3_t1        psivlx_t1       
thtvlx_t1       alt_t1          aax_t1          alx_t1          anx_t1          
mach_a1         SAEL1_a1        SAEL2_a1        SAEL3_a1        VAEL1_a1        
VAEL2_a1        VAEL3_a1        psivlx_a1       thtvlx_a1       alt_a1          
STCEL11_a1      STCEL12_a1      STCEL13_a1      VTCEL11_a1      VTCEL12_a1      
VTCEL13_a1      STCEL21_a1      STCEL22_a1      STCEL23_a1      VTCEL21_a1      
VTCEL22_a1      VTCEL23_a1      STCEL31_a1      STCEL32_a1      STCEL33_a1      
VTCEL31_a1      VTCEL32_a1      VTCEL33_a1      
0               0               0               0               0               
0               0               -7000           293             0               
0               0               0               33000           10000           
-100            4.36049e-14     -5              -0              -90             
0               0               0               0               0               
0               0               0               -7000           293             
0               -0              0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
0               0.93385         0               -0              0               
0.1465          7.40023e-10     -7000           292.999         1.48005e-06     
0.0048991       0               0.0147098       33000           10000           
-100            4.90972e-05     -5              0               -89.9994        
-0              100             0               0.01            1               
0.938183        0.293           0               -7000           293             
0               0.0048991       0               -0.000958013    7000            
32991.3         10016.1         -88.5068        0.021613        -5.1618         
0.160625        0               0               0               0               
0               0               0               0               0               
0               0               0               
1               0.936675        -2.43775        -1.39341        0.0217327       
292.512         0.343869        -6995.28        291.736         0.692789        
9.3944          0               0.0147098       33000           9995            
-100            0.0982372       -4.99904        0               -88.8742        
-0              100             0               0.01            1               
0.938446        293.313         0               -6997.21        293.062         
0               4.23999         0               -0.82889        6997.21         
32984.9         10051.3         -107.313        0.000869007     -5.03304        
-0.0668724      0               0               0               0               
0               0               0               0               0               
0               0               0               
2               0.93691         -4.53115        -3.60517        0.0141303       
583.608         1.06731         -6981.14        290.448         0.633511        
18.9248         0               0.0147098       33000.2         9990            
-100            0.196387        -4.99615        0               -87.749         
-0              100             0               0.01            1               
0.938882        586.445         0               -6992.6         293.208         
0               4.81285         0               -0.940396       6992.6          
32984.9         10051.3         -107.313        0.000869007     -5.03304        
-0.0668724      0               0               0               0               
0               0               0               0               0               
0               0               0               
3               0.93623         -4.82928        -5.60486        -0.00307366     
873.4           1.55525         -6957.37        289.136         0.373888        
28.6135         0               0.0147098       33000.4         9985            
-100            0.294462        -4.99133        0               -86.6238        
-0              100             0               0.01            1               
0.939341        879.733         0               -6987.73        293.369         
0               4.8924          0               -0.95541        6987.73         
32991.3         10044.4         -139.971        -0.54326        -5.05471        
-0.751163       0               0               0               0               
0               0               0               0               0               
0               0               0               
4               0.960174        -3.6896         2.225           -0.293284       
