1 f16c11_7.asc 3 Waypoints and terminal glide slope to IP ' F16 Aircraft ' Nov 30 2022 21:43:09
  0  0 63
time            vmach           pdynmc          dvba            psiblx          
thtblx          phiblx          alppx           phipx           alphax          
betax           erq             etbl            ppx             qqx             
rrx             VBEB1           VBEB2           VBEB3           SBEL1           
SBEL2           SBEL3           VBEL1           VBEL2           VBEL3           
dvbe            hbe             psivlx          thtvlx          alx             
anx             ayx             throttle        thrust          idle            
mil             max             stmarg          dma             dmde            
gmax            gminx           realp1          realp2          wnp             
zetp            realy1          realy2          wny             zety            
nl_gain         dwbh            wp_flag         delacx          delecx          
delrcx          alcomx          ancomx          altcom          zetlagr         
delax           delex           delrx           
0               0.535022        18008.9         180             0.000810285     
1               0.000810285     1               0               1               
0               0               1.41421         0               -0.00537537     
0               179.972         0               3.14202         0.0899997       
0               -1000           179.999         0               0.000598067     
179.999         1000            0               -0.000190371    0               
0.878698        0               0.77            -2551.06        -2687.43        
51856.2         97574.1         -0.0161374      1.35477         -12.5535        
6.01266         -1.86912        0.0517306       -2.27724        0               
0               0               0               3.34415         0.00283981      
0.399993        5385.16         1               -20             -0.0127465      
0               4.30139         1.00101         1000            0.7             
0               0               0               
0.1             0.534894        18000.3         179.957         -0.000810285    
0.795789        2.09209         0.792612        6.38658         0.804271        
0.09002         -3.94083e-06    1.41421         59.5431         -5.1565         
-0.953593       179.939         0.283987        2.52745         18.0863         
0.00267474      -999.998        179.958         0.0771024       0.0368049       
179.958         999.998         0.0245482       -0.0117181      0.11184         
0.83065         0.0815419       0.77            18942.5         -2684.68        
51855.6         97569.3         -0.0129376      1.09115         -12.4064        
6.00978         -1.86823        -0.0700154      -2.16019        0               
0               0               0               3.33976         0.00284171      
0.399993        5368.54         1               20              1.18696         
0               4.31717         1.00424         1000            0.7             
19.9711         3.68068         0               
0.2             0.53535         18031           180.11          -0.000810285    
0.198082        11.494          0.268969        53.1433         0.278751        
0.371848        -2.1675e-05     1.41421         125.262         -5.90174        
-1.84598        180.103         1.17105         0.88236         36.0886         
0.0161237       -999.977        180.112         0.18674         0.475489        
180.112         999.977         0.0594044       -0.151258       0.0889051       
0.362028        0.0182102       0.77            31942.4         -2694.48        
51857.7         97586.7         -0.0262066      2.24415         -12.6831        
6.02004         -1.87142        0.375173        -2.62134        0               
0               0               0               3.33292         0.00284394      
0.399993        5351.84         1               20              -3.40513        
0               4.33595         1.05616         1000            0.7             
20              -2.88314        0               
0.3             0.536085        18080.8         180.358         -0.249017       
-0.166736       26.2787         0.457449        98.9138         -0.107371       
0.684569        -4.10763e-05    1.41421         168.234         -3.07092        
-2.12773        180.34          2.15867         -0.331646       54.1114         
0.038902        -999.894        180.357         0.266325        1.18336         
180.361         999.894         0.0846063       -0.375924       0.0783227       
0.26461         -0.0397063      0.77            39809.7         -2710.31        
51861.2         97615.3         -0.0328455      2.84824         -12.6795        
6.03665         -1.87658        0.568882        -2.8065         0               
0               0               0               3.33434         0.00283998      
0.399992        5335.11         1               20              -3.93427        
0               4.35882         1.21249         1000            0.7             
20              -3.79358        0               
0.4             0.537008        18143.4         180.669         -0.590177       
-0.188893       44.6008         0.852282        110.568         -0.369194       
0.983837        -5.73946e-05    1.41421         196.845         -0.381522       
-2.28115        180.631         3.10789         -1.15879        72.1619         
0.0692747       -999.738        180.661         0.340006        1.95292         
180.672         999.738         0.107831        -0.619333       0.0763169       
0.200933        -0.0833298      0.77            44573           -2730.2         
51865.8         97651.6         -0.038783       3.39713         -12.6139        
6.05756         -1.88308        0.745855        -2.94068        0               
0               0               0               3.34496         0.00282846      
0.399992        5318.37         1               20              -5.1543         
0               4.38368         1.60868         1000            0.7             
20              -4.72375        0               
0.5             0.538008        18211.6         181.006         -0.665138       
0.0569161       64.1028         1.22523         111.37          -0.490831       
1.25426         -4.81585e-05    1.41421         166.244         3.4579          
-1.75915        180.95          3.96791         -1.54736        90.2444         
0.105894        -999.504        180.988         0.3802          2.71409         
181.009         999.504         0.12036         -0.859137       0.042146        
0.181009        -0.262886       0.77            47458.4         -2751.78        
51871.1         97691.5         -0.0459985      4.05666         -12.6102        
6.08033         -1.89016        0.925831        -3.10307        0               
0               0               0               3.3535          0.00282109      
0.399992        5301.61         1               -20             -7.09585        
0               4.41118         2.75856         1000            0.7             
-9.18515        -6.52637        0               
0.6             0.539015        18280.5         181.345         -0.219644       
0.314738        73.8915         1.42263         91.0003         -0.0249613      
1.42926         -3.13544e-06    1.41421         28.4876         10.4594         
1.14759         181.291         4.52974         -0.0804464      108.36          
0.147794        -999.201        181.317         0.510273        3.33366         
181.348         999.201         0.161245        -1.05331        0.366556        
0.465605        -0.281993       0.77            49207.3         -2773.52        
51876.8         97732.1         -0.0421995      3.69209         -12.8542        
6.10333         -1.8973         0.78918         -3.05395        0               
0               0               0               3.35117         0.00283199      
0.399991        5284.82         1               -20             -8.65837        
0               4.43413         4.52538         1000            0.7             
-19.9897        -8.27895        0               
0.7             0.54008         18353.6         181.704         1.21008         
0.422628        71.997          1.85265         44.2863         1.33096         
1.29788         -3.53863e-06    1.41421         -44.9833        18.6242         
5.31605         181.612         4.12372         4.21177         126.508         
0.224541        -998.839        181.663         1.13604         3.88382         
181.708         998.839         0.3583          -1.22473        1.03472         
1.12042         -0.117777       0.77            50268.7         -2796.54        
51882.9         97775.4         -0.0141547      1.20062         -12.8866        
6.12774         -1.9049         -0.0224672      -2.21544        0               
0               0               0               3.38214         0.00281916      
0.399991        5268            1               9.32705         -9.1579         
0               4.43011         4.21471         1000            0.7             
0.625326        -9.3008         0               
0.8             0.541171        18428.7         182.072         3.52642         
0.524835        69.7759         3.3034          14.3622         3.20138         
0.81924         -1.03769e-06    1.41421         0.910895        24.9858         
8.01875         181.773         2.61201         10.1499         144.692         
0.402634        -998.428        182.006         2.58175         4.29444         
182.075         998.428         0.812683        -1.35151        1.96488         
2.08934         -0.0431724      0.77            50913.8         -2820.11        
51889.3         97820.1         -0.0109623      0.929499        -12.8975        
6.15281         -1.91269        -0.154981       -2.08524        0               
0               0               0               3.42358         0.00280201      
0.399991        5251.11         1               0.6767          -5.01248        
0               4.38038         3.87903         1000            0.7             
4.88287         -6.38136        0               
0.9             0.542164        18497.4         182.407         6.27216         
0.56211         70.0231         5.10642         2.3034          5.10308         
0.204992        -1.19389e-06    1.41421         -0.907121       26.135          
10.1303         181.688         0.661717        16.199          162.908         
0.77215         -997.992        182.29          4.9488          4.37339         
182.41          997.992         1.55508         -1.37383        2.80585         
2.95055         -0.00391528     0.77            51306.6         -2841.6         
51895.5         97861.3         -0.00426859     0.362672        -12.9075        
6.17575         -1.91982        -0.520277       -1.72863        0               
0               0               0               3.46289         0.00278461      
0.399991        5234.13         1               0.233344        -3.05924        
0               4.27748         3.96937         1000            0.7             
-0.733894       -3.20259        0               
1               0.542935        18551           182.667         9.06333         
0.420765        69.9894         6.79416         -4.90728        6.77005         
-0.579894       -1.17943e-06    1.41421         1.24635         25.2817         
11.4598         181.39          -1.83863        21.5014         181.146         
1.41526         -997.558        182.443         8.00837         4.2978          
