1 input_insertion.asc  Three-stage rocket ascent 
 ' SLV
 ' Nov 30 2022 22:11:34
  0  0 108
time            vmach           pdynmc          psibdx          thtbdx          
phibdx          alppx           phipx           alphax          betax           
ppx             qqx             rrx             lonx            latx            
alt             dvbe            dvbi            psivdx          thtvdx          
grndtrck        ayx             anx             gndtrnmx        vmass           
xcg             fmasse          thrust          fmassr          dead_zone       
roll_count      pitch_count     yaw_count       stmarg_yaw      stmarg_pitch    
realp1          wnp             zetp            realy1          wny             
zety            gnmax           gymax           alphacx         betacx          
phibdcx         thtbdcx         psibdcx         RICI1           RICI2           
RICI3           EVBI1           EVBI2           EVBI3           ESBI1           
ESBI2           ESBI3           ins_pos_err     ins_vel_err     ins_tilt_err    
UTBC1           UTBC2           UTBC3           lamd            dpd             
dbd             ddb             dvdb            thtvddbx        waclp           
zaclp           paclp           alcomx_actual   ancomx_actual   GAINFP1         
GAINFP2         GAINFP3         wacly           alcomx          ancomx          
wnact           delax           delex           delrx           modes           
ucbias_error    ucfreq_error    SXH1            SXH2            SXH3            
VXH1            VXH2            VXH3            CXH1            CXH2            
CXH3            std_pos         std_vel         std_ucbias      gps_pos_meas    
gps_vel_meas    state_pos       state_vel       URIC1           URIC2           
URIC3           etax            zetx            
0               0.00294195      0.606641        90              90              
180             1.20742e-06     -7              1.7051e-06      -2.0936e-07     
0               2.53472e-11     -6.63557e-11    -120.49         34.68           
100.001         1.00948         382.891         -1.00346        89.9996         
6.87183e-09     2.15385e-14     1.75417e-13     3.71049e-12     48983.7         
10.53           0.25705         1.40763e+06     31174.7         0.4             
0               0               0               -2.55572        -2.55572        
0.00568625      0               0               0.00568625      0               
0               4.77993e-06     4.77993e-06     7.24309         1.03072         
-0              90              -180            -7.04038e-05    -0.000254569    
-0.000482511    -0.0999942      0.0761533       0.030324        -5.67038        
-0.937304       -2.62858        6.31991         0.129297        0.000550071     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.95033         0.0531788       0               0               0               
0               0               0               0               0               
0               5               0.2             3.00004         0               
0               0               0               0               0               
0               0               0               
0.1             0.00849058      5.05271         -82.2642        89.9172         
0.735852        0               180             -0.0489604      0.063916        
-6.65986e-07    -1.69874        -0.128132       -120.49         34.68           
100.196         2.905           382.899         -21.069         89.9266         
0.000173746     0               -0              9.38151e-08     48932.3         
10.5238         51.667          1.40763e+06     31123.3         0.4             
0               1               4               -2.55259        -2.55259        
0.016411        0               0               0.016411        0               
