1 aimc11_3.asc Terminal guidance against 3 g target ' Missile AIM ' Nov 30 2022 22:16:57
  0  0 76
time            vmach           pdynmc          psiblx          thtblx          
phiblx          alppx           phipx           alphax          betax           
erq             etbl            ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           track           VBEL1           
VBEL2           VBEL3           dvbe            hbe             psivlx          
thtvlx          anx             ayx             dts             vmass           
thrust          ai11            ai33            stmarg          realq1          
realq2          wnq             zetq            gavail          gmax            
dbt             ththbx          phihbx          EAHH1           EAHH2           
EAHH3           thtpbx          psipbx          sigdpy          sigdpz          
ancomx          alcomx          apny            adely           all             
tgoc            dtbc            dvtbc           psiobcx         thtobcx         
phicomx         dpcx            dqcx            drcx            dpx             
dqx             drx             delx1           ddx1            miss            
etax            zetx            etacx           zetcx           detas           
dzeta           
0               0.743086        34739.4         0.000810285     -0              
0.000810285     0               0               0               0               
0               0               0               0               0               
0.125           0               -1000           0.125           249.999         
0               0.00490833      249.999         1000            0               
-0.00112491     0               0               10031.9         91.9563         
143.109         0.3078          59.8043         1.80588         0               
0               6.49548         0.0774117       13.5387         13.5387         
10002           0               0               0               2.4488e-18      
7.13242e-16     0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               -0.000198556    0               0               0               
0               0               0               0.000992779     0               
0               0               0               0               0               
0               
0.05            0.766649        36977.4         0.000810285     -0.00176617     
0.000810285     0.105182        4.49199e-05     0.105182        8.24625e-08     
-8.60689e-12    3.26922e-11     -0.000990305    -0.112242       1.00599e-07     
12.7591         1.96787e-13     -999.988        12.7591         258.263         
-2.24605e-08    0.490585        258.264         999.988         -4.98288e-09    
-0.108836       0.0196862       -1.70485e-08    10019.5         91.0539         
31270.8         0.3078          59.7512         1.82059         0               
0               6.76103         0.0767973       14.8964         14.9165         
9977            0.240494        180             0               6.46345e-08     
-0.0159762      -0.240494       5.24626e-08     0               0               
0               0               0               0               0               
0               0               0               0               0               
0               -0.000171643    -0.00692841     6.26499e-09     -0.000216223    
-0.00359149     2.06031e-09     -0.00337527     -0.202613       0               
0               0               0               0               0               
0               
0.1             0.818711        42170.4         -0.000810285    -0.0141267      
-0.000810285    0.185598        -0.000216258    0.185598        -7.00522e-07    
-1.81714e-10    6.55736e-10     0.00166275      -0.422685       -1.85736e-06    
26.1089         -1.79878e-09    -999.951        26.1089         275.796         
9.32673e-08     0.967664        275.798         999.951         1.9376e-08      
-0.201028       0.0387436       1.63338e-07     10007           90.5687         
32509.3         0.305965        59.3497         1.90955         0               
0               7.4788          0.0739159       17.9719         18.0132         
9951.18         0.666762        -180            0               9.43096e-07     
-0.00833208     -0.666762       -5.3943e-06     0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0.000138678     -0.0251409      -1.10568e-07    0.00029567      
-0.0192024      -6.0024e-08     -0.019498       -0.401235       0               
0               0               0               0               0               
0               
0.15            0.871968        47835.4         -0.000810285    -0.0453882      
0.000810285     0.235283        0.000232538     0.235283        9.54906e-07     
-8.76255e-10    3.10935e-09     0.0061121       -0.859454       3.87392e-06     
40.3451         7.51969e-09     -999.891        40.3451         293.719         
7.2012e-08      1.44225         293.723         999.891         1.40474e-08     
-0.281338       0.0544768       -2.64838e-07    9994.57         90.0923         
33124.8         0.304093        58.9411         2.03194         0               
0               8.33651         0.0704109       21.4137         21.4748         
9924.46         0.90187         -179.998        0               3.61578e-06     
-0.00365823     -0.90187        -2.83266e-05    0               0               
0               0               0               0               0               
0               0               0               0               0               
0               -0.000228229    -0.0489446      2.1322e-07      -0.000257759    
-0.0419628      5.38778e-08     -0.0417051      -0.487311       0               
0               0               0               0               0               
0               
0.2             0.926321        53985.4         0.000810285     -0.0998917      
-0.000810285    0.253354        -9.15721e-05    0.253354        -4.04917e-07    
-2.31699e-09    8.14918e-09     -0.0116742      -1.33731        -2.0956e-06     
55.4869         -2.84861e-09    -999.807        55.4869         312.011         
-2.74852e-07    1.92397         312.017         999.807         -5.04722e-08    
-0.353301       0.0646438       1.64965e-07     9982.11         89.6159         
33740.3         0.302221        58.5325         2.19075         0               
0               9.37198         0.0663568       25.1599         25.2369         
9896.84         0.970489        -179.992        0               8.51795e-06     
-0.00150905     -0.970489       -0.000137257    0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0.000254471     -0.0731171      -9.63497e-08    6.86121e-05     
-0.0666864      1.48526e-07     -0.0667551      -0.48365        0               
0               0               0               0               0               
0               
0.25            0.981733        60638.1         -0.000810285    -0.177192       
-0.000810285    0.243358        -5.57736e-05    0.243358        -2.36892e-07    
-4.25839e-09    1.4901e-08      0.0119899       -1.7664         -2.72972e-06    
71.5521         5.63315e-10     -999.698        71.5521         330.658         
3.23752e-07     2.42445         330.667         999.698         5.60992e-08     
-0.420097       0.0693607       2.79368e-09     9969.66         89.1395         
34355.9         0.300349        58.1238         2.5311          0               
0               11.0848         0.0607479       30.7451         30.8346         
9868.3          0.944983        -179.977        0               1.52411e-05     
-0.000623676    -0.944983       -0.000375584    0               0               
0               0               0               0               0               
0               0               0               0               0               
0               -2.36513e-05    -0.0925345      -1.65946e-07    3.14782e-05     
-0.0874906      -3.94976e-07    -0.0875217      -0.363034       0               
0               0               0               0               0               
0               
0.3             1.0381          67801.7         -0.000810285    -0.321606       
0.000810285     0.158443        0.310879        0.158441        0.000859685     
-2.85295e-08    1.05904e-07     -0.00866382     -5.95079        -0.0686775      
88.5581         1.21953e-05     -999.565        88.5581         349.622         
0.0009825       2.9002          349.634         999.565         0.000161011     
-0.475272       0.223508        0.00345231      9957.2          88.5291         
34768.7         0.298853        57.7623         2.96172         0               
0               13.3087         0.0556608       38.4546         38.5265         
9838.81         0.820794        -179.998        0               2.23192e-05     
-0.000236374    -0.820794       -3.5286e-05     -0.00476406     -0.000183788    
-0.648738       -0.0421363      -0.0421087      -2.39475e-05    -0.0421363      
0               0               0               0               0               
0               -9.55444e-06    0.448541        0.0161193       -9.26559e-05    
0.517941        0.0134771       0.504557        0.609471        0               
0               0               0               0               0               
0               
0.35            1.09511         75455.4         -0.000810285    -0.789219       
-0.000810285    0.237963        177.683         -0.237768       0.00961895      
-1.79426e-07    6.26338e-07     0.000434418     -11.2385        -0.293407       
106.518         0.000114092     -999.406        106.518         368.805         
0.002422        3.48958         368.822         999.406         0.000376271     
-0.542108       -0.0730031      0.00127646      9944.75         87.8294         
35046.3         0.297607        57.4322         2.91411         0               
0               13.9625         0.0528662       43.9486         44.0697         
9808.38         0.361521        178.717         0               2.87268e-05     
-3.09737e-05    -0.361431       0.00809728      -0.0013266      -0.000244783    
0.43787         -0.0523108      -0.057878       0.00556405      -0.0523108      
0               0               0               0               0               
0               6.54512e-05     0.0421236       0.022676        0.000126131     
0.13952         0.0206374       0.118756        -7.52104        0               
0               0               0               0               0               
0               
0.4             1.15289         83629.6         -0.0146903      -1.26722        
0.000810285     0.60143         177.336         -0.60078        0.027952        
-9.86696e-08    3.29794e-07     0.0210258       -6.22527        -0.475863       
125.443         0.000121453     -999.208        125.443         388.241         
-0.00410456     4.49098         388.267         999.208         -0.000605743    
-0.66274        -0.381015       -0.0077944      9932.3          87.1296         
35324           0.296362        57.1021         2.71656         0               
0               14.068          0.0504407       48.8296         49.1632         
9776.98         0.117621        13.1595         0               -8.15336e-06    
0.000120925     0.114533        0.0267781       -0.000578125    -0.000312592    
0.938532        -0.0575983      -0.0762331      0.0186498       -0.0575983      
0               0               0               0               0               
0               -0.000187149    -0.173638       0.0289133       -0.000181598    
-0.142126       0.0271427       -0.169087       -3.15393        0               
0               0               0               0               0               
0               
0.45            1.21143         92341.3         -0.054106       -1.34777        
0.000810285     0.552963        174.754         -0.550647       0.0505584       
-7.25026e-09    2.76605e-08     0.0510096       3.34148         -0.52711        
145.346         -0.000543724    -998.953        145.346         407.929         
-0.0252505      5.71624         407.969         998.953         -0.00354657     
-0.802824       -0.386716       -0.0209461      9919.85         86.4298         
35601.7         0.295117        56.772          2.55915         0               
0               14.1817         0.0481149       49.6684         50              
9744.6          0.198626        14.9736         0               1.90491e-05     
0.00026528      0.191882        0.0513201       -0.0017998      -0.000411819    
0.682621        -0.0673821      -0.103531       0.0362045       -0.0673821      
0               0               0               0               0               
0               -0.000347977    -0.120628       0.0376628       -0.000303544    
-0.152972       0.0346613       -0.18733        1.88138         0               
0               0               0               0               0               
0               
0.5             1.27072         101605          -0.0763733      -1.02215        
0.000810285     0.142642        149.748         -0.123216       0.0718643       
-9.97828e-08    3.51282e-07     0.00791676      8.7556          -0.524356       
166.24          -0.00266873     -998.639        166.24          427.868         
-0.0621042      6.79039         427.922         998.639         -0.00831637     
-0.909224       -0.094485       -0.0310579      9907.41         85.73           
35879.3         0.293871        56.4419         2.41044         0               
0               14.1521         0.04888         49.9091         50              
9711.23         0.159775        151.593         0               0.000188044     
-0.000205145    -0.140537       0.0760099       -0.00274611     -0.00053631     
0.188192        -0.0847293      -0.138913       0.0542814       -0.0847293      
0               0               0               0               0               
0               -0.000104043    -0.0119875      0.0495098       -0.000216403    
-0.0372892      0.0463782       -0.0834511      1.76            0               
0               0               0               0               0               
0               
0.55            1.33075         111436          -0.106812       -0.593884       
0.000810285     0.370589        14.8217         0.358259        0.0948004       
-9.96843e-08    3.40275e-07     -0.0290816      7.33779         -0.593338       
188.137         -0.00697027     -998.28         188.137         448.061         
-0.113902       7.50914         448.124         998.28          -0.0145652      
-0.960142       0.246534        -0.0488278      9894.96         85.0182         
36100.6         0.292565        56.1118         2.16905         0               
0               13.7812         0.0507733       49.7507         50              
9676.86         0.585508        169.817         0               9.65883e-05     
-0.000131189    -0.576284       0.103521        -0.00224252     -0.000648116    
-0.01458        -0.0981741      -0.172869       0.0747906       -0.0981741      
0               0               0               0               0               
0               9.76679e-05     0.00660219      0.0546892       4.23036e-05     
0.0128907       0.0522867       -0.0394383      -0.317272       0               
0               0               0               0               0               
0               
0.6             1.39128         121809          -0.136807       -0.338988       
0.000810285     0.640175        10.2737         0.629911        0.114173        
-2.19519e-08    7.22682e-08     -0.157386       2.52615         -0.51748        
211.049         -0.014409       -997.893        211.049         468.426         
-0.186344       7.94423         468.493         997.893         -0.0227928      
-0.97161        0.428316        -0.0627607      9882.52         84.2636         
36122.1         0.291041        55.7816         1.90486         0               
0               13.212          0.0533482       49.5476         50              
9641.47         0.845604        171.227         0               8.51939e-05     
3.38538e-06     -0.83571        0.128977        -0.000876965    -0.000770865    
0.151686        -0.117869       -0.2116         0.0937586       -0.117869       
0               0               0               0               0               
0               0.00075367      -0.0736155      0.0648309       0.000531256     
-0.0438067      0.0623012       -0.106639       -2.20037        0               
0               0               0               0               0               
0               
0.65            1.45216         132710          -0.16357        -0.309713       
-0.00805552     0.676605        11.1655         0.663799        0.131018        
-1.31644e-09    4.75526e-09     -0.222398       -1.00433        -0.554315       
234.982         -0.0258533      -997.487        234.982         488.912         
-0.27399        8.30017         488.982         997.487         -0.032109       
-0.972606       0.42792         -0.076336       9870.08         83.509          
36143.6         0.289516        55.4515         1.6289          0               
0               12.4579         0.0567469       49.5007         50              
9605.07         0.879212        169.997         0               8.6459e-05      
5.70105e-05     -0.865846       0.152727        0.000162588     -0.000889499    
0.412773        -0.139298       -0.251118       0.111669        -0.139298       
0               0               0               0               0               
0               0.00162376      -0.178862       0.06972         0.00139533      
-0.15286        0.0690693       -0.223324       -2.07734        0               
0               0               0               0               0               
0               
0.7             1.5134          144146          -0.193613       -0.381134       
-0.0156465      0.618715        14.0696         0.600156        0.150408        
-4.0906e-09     1.40664e-08     -0.0838106      -1.40863        -0.655019       
259.942         -0.0421007      -997.062        259.942         509.515         
-0.379315       8.71602         509.589         997.062         -0.0426546      
-0.980035       0.371719        -0.0953951      9857.64         82.7545         
36165.1         0.287992        55.1214         1.3205          0               
0               11.4042         0.0619279       49.5262         50              
9567.64         0.813749        167.22          0               0.000100332     
2.88422e-05     -0.79359        0.180013        0.000293095     -0.000986406    
0.501468        -0.153574       -0.286228       0.132367        -0.153574       
0               0               0               0               0               
0               0.00136551      -0.211652       0.0666502       0.00149887      
-0.213404       0.0683949       -0.283298       -0.0436879      0               
0               0               0               0               0               
0               
0.75            1.57498         156124          -0.22807        -0.425982       
-0.0180295      0.592197        16.9384         0.566508        0.17253         
-1.29694e-09    4.36917e-09     -0.013105       -0.322385       -0.708148       
285.935         -0.0641777      -996.615        285.935         530.234         
-0.508131       9.18414         530.314         996.615         -0.0549074      
-0.992315       0.378252        -0.120634       9845.2          81.9999         
36186.6         0.286468        54.7913         0.964897        0               
0               9.88244         0.071085        49.5322         50              
9529.19         0.77781         164.227         0               0.000123319     
-1.38023e-05    -0.748522       0.211438        -0.00016805     -0.00108391     
0.396331        -0.16641        -0.323086       0.156357        -0.16641        
0               0               0               0               0               
0               0.00113688      -0.137331       0.0552254       0.00116525      
-0.167655       0.0591903       -0.22801        2.23225         0               
0               0               0               0               0               
0               
0.8             1.6369          168652          -0.262161       -0.432882       
-0.0185152      0.600207        18.7092         0.568494        0.192522        
-6.88958e-10    2.38653e-09     -0.0183546      -0.314201       -0.604582       
312.967         -0.0933782      -996.144        312.967         551.069         
-0.664845       9.62991         551.153         996.144         -0.0691253      
-1.00114        0.444952        -0.14867        9832.77         81.2453         
36208.1         0.284944        54.4611         0.78752         0               
0               9.11479         0.0776209       49.5039         50              
9489.69         0.781249        161.938         0               0.00014041      
-1.6087e-05     -0.742746       0.242242        -0.000546562    -0.00120126     
0.280543        -0.187204       -0.367608       0.180079        -0.187204       
0               0               0               0               0               
0               0.00116081      -0.0466782      0.047546        0.00114385      
-0.0599849      0.0468895       -0.108018       1.34009         0               
