1 input_SAM_RF_AC_Radar_#1_#2_#3.asc  Oct 23 2022 19:32:20
  0  0 99
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            stmarg_pitch    
realq1          realq2          wnq             zetq            realp           
gavail          gmax            wnr             stmarg_yaw      realr1          
realr2          prreal          dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            pacl            
wrcl            zrate           wnlagr          ancomx_test     alcomx_test     
dpx             dqx             drx             delx1           delx2           
delx3           delx4           miss            MISS1           MISS2           
MISS3           mode            dbt             psiptx          thtptx          
etax            zetx            aztbx           eltbx           dab             
ddab            snr_db          onax            epsic           ethtc           
psisb           thtsb           lamdqb          lamdrb          
50.8            0               0.079           0.0463612       152.434         
-90             45              6.93609e-06     1.95291         6.23051e-05     
1.95291         2.12324e-06     0.000205723     0.000458366     -1.68338e-05    
1.34305e-08     -0.893947       -0.863709       15.7775         0.863709        
-90             43.0221         0.00136526      4.58331e-07     299.21          
2370.32         2.89605         2.8921          437.63          -0.0867861      
-0.0201701      -1.25331        0               0               -2.39099        
0.0349909       0.0363572       0               -0.250284       -0.011013       
-1.26177        -0.636392       19981.1         0               1               
0               0               0               0               0               
43.0909         -90.0949        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
1.91279         0.024543        0               0               0               
0.00182754      0.00406488      0.00229285      -0.00412039     0.00223735      
0.000465316     -0.00589242     0               0               0               
0               120021          19981           0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
50.9            0               0.179           0.0482114       164.822         
-90             45.0001         3.65232e-05     4.29898         0.000119442     
4.29898         8.95349e-06     0.000462362     0.00202893      -3.82153e-05    
6.96081e-08     -2.08726        -1.93105        16.4172         1.93105         
-90             40.68           0.00326296      4.38241e-07     298.21          
5370.72         2.89105         2.8821          434.63          -0.0683283      
-0.0221136      -1.3127         0               0               -2.50123        
0.0362419       0.0395052       0               -0.268964       -0.0105119      
-1.32351        -0.667009       19957.8         0               1               
0               0               0               0               0               
40.7439         -90.0906        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
2.00098         0.0256856       0               0               0               
0.00169223      0.0185233       0.00203362      -0.00372585     0.016831        
0.000341392     -0.0202155      0               0               0               
0               120021          19957.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
51              0               0.279           0.0530928       199.862         
-90             45.0004         9.01409e-05     6.10038         0.000204322     
6.10038         2.17134e-05     0.000735438     0.0042389       -5.95595e-05    
1.57502e-07     -3.4078         -3.02788        18.0884         3.02788         
-90             38.8855         0.00563781      4.31518e-07     297.21          
8371.14         2.88605         2.8721          431.63          -0.052395       
-0.0254602      -1.45916        0               0               -2.78262        
0.0426258       0.0482619       0               -0.282395       -0.0109062      
-1.47278        -0.741845       19934.5         0               1               
0               0               0               0               0               
38.9381         -90.0833        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
2.2261          0.0284642       0               0               0               
0.0015861       0.0360036       0.00168334      -0.00326944     0.0344175       
9.72419e-05     -0.0375897      0               0               0               
0               120021          19934.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
51.1            0               0.379           0.0609873       263.68          
-90             45.001          0.000171475     7.21807         0.000323826     
7.21807         4.06874e-05     0.00106526      0.00671574      -8.16545e-05    
2.46284e-07     -4.92723        -4.22619        20.7846         4.22619         
-90             37.775          0.00883778      4.19635e-07     296.21          
11371.6         2.88105         2.8621          428.63          -0.0417042      
-0.0303809      -1.69566        0               0               -3.24233        
0.0554764       0.0643088       0               -0.288317       -0.0123292      
-1.71237        -0.862349       19911           0               1               
0               0               0               0               0               
37.814          -90.075         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
2.59386         0.0331322       0               0               0               
0.00149993      0.050284        0.00130946      -0.00280939     0.048784        
-0.000190472    -0.0517839      0               0               0               
0               120021          19911           0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
51.2            0               0.479           0.0718859       366.282         
-90             45.0018         0.000288598     7.73322         0.000488718     
7.73322         6.57622e-05     0.0014999       0.00910088      -0.000104817    
2.7397e-07      -6.71764        -5.59854        24.5031         5.59854         
-90             37.2659         0.0132093       3.76487e-07     295.21          
14372.1         2.87605         2.8521          425.63          -0.0393524      
-0.0368513      -2.02672        0               0               -3.89204        
0.0772473       0.0904463       0               -0.287845       -0.0148706      
-2.04639        -1.03063        19887.1         0               1               
0               0               0               0               0               
37.2922         -90.0669        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
3.11363         0.0399438       0               0               0               
0.00142016      0.0581676       0.00096608      -0.00238624     0.0567475       
-0.000454081    -0.0595878      0               0               0               
0               120021          19887.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
51.3            0               0.579           0.0857953       521.64          
-90.0001        45.0028         0.000454774     7.81708         0.000715104     
7.81708         9.72619e-05     0.00209974      0.0110305       -0.000128927    
1.33571e-07     -8.85154        -7.21807        29.2458         7.21807         
-90             37.1865         0.0190991       2.63081e-07     294.21          
17372.7         2.87105         2.8421          422.63          -0.0353681      
-0.0447776      -2.45731        0               0               -4.74848        
0.111643        0.130726        0               -0.283531       -0.0185781      
-2.48061        -1.24959        19862.9         0               1               
0               0               0               0               0               
37.2024         -90.0597        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
3.79878         0.0480748       0               0               0               
0.00133489      0.0592538       0.000680449     -0.00201533     0.0579189       
-0.000654437    -0.0605887      0               0               0               
0               120021          19862.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
51.4            0               0.679           0.102733        747.771         
-90.0001        45.0039         0.000689876     7.63322         0.00102572      
7.63322         0.000136247     0.00293899      0.0122212       -0.000153454    
-3.4177e-07     -11.4019        -9.15852        35.0189         9.15852         
-90             37.3735         0.0268539       1.76054e-08     293.21          
20373.4         2.86605         2.8321          419.63          -0.0289517      
-0.0543646      -2.9945         0               0               -5.83333        
0.163793        0.190627        0               -0.277849       -0.0234565      
-3.02233        -1.52289        19838.1         0               1               
0               0               0               0               0               
37.3814         -90.0535        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
4.66666         0.0575411       0               0               0               
0.00123693      0.0548937       0.000457163     -0.00169409     0.0536568       
-0.000779768    -0.0561306      0               0               0               
0               120021          19838.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
51.5            0               0.779           0.122725        1066.82         
-90.0001        45.0052         0.00102176      7.30214         0.00145107      
7.30214         0.000184434     0.00410338      0.0126345       -0.000177578    
-1.39439e-06    -14.4419        -11.4943        41.8305         11.4943         
-90             37.7068         0.036818        -4.57871e-07    292.21          
23374.3         2.86105         2.8221          416.63          -0.019245       
-0.0658969      -3.64673        0               0               -7.17316        
0.240474        0.277271        0               -0.272624       -0.0294694      
-3.68038        -1.85492        19812.7         0               1               
0               0               0               0               0               
37.7088         -90.0484        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
5.73853         0.068357        0               0               0               
0.0011242       0.0474929       0.000290359     -0.00141456     0.0463687       
-0.00083384     -0.0486171      0               0               0               
0               120021          19812.7         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
51.6            0               0.879           0.145796        1505.12         
-90.0001        45.0065         0.00148728      6.9015          0.00203018      
6.9015          0.000243952     0.0056844       0.0126619       -0.000200431    
-3.35761e-06    -18.0453        -14.3005        49.6893         14.3005         
-90             38.1091         0.0493302       -1.31873e-06    291.21          
26375.4         2.85605         2.8121          413.63          -0.00912444     
-0.0794473      -4.42435        0               0               -8.79937        
0.350374        0.399685        0               -0.26903        -0.0365404      
-4.46499        -2.25076        19786.6         0               1               
0               0               0               0               0               
38.1067         -90.0442        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
7.03949         0.0807968       0.0800714       0               0               
0.000998771     0.0399687       0.000170351     -0.00116912     0.0389699       
-0.00082842     -0.0409674      0               0               0               
0               120021          19786.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
51.7            0               0.979           0.171973        2093.28         
-90.0002        45.0077         0.00213257      6.47746         0.00281069      
6.47746         0.00031708      0.00777112      0.0132507       -0.000221456    
-6.67041e-06    -22.2861        -17.653         58.6041         17.653          
-90.0001        38.5345         0.0647213       -2.80917e-06    290.21          
29376.6         2.85105         2.8021          410.63          -0.01062        
-0.0939161      -5.34105        0               0               -10.7482        
0.504414        0.569115        0               -0.267756       -0.0445569      
-5.38786        -2.71621        19759.7         0               1               
0               0               0               0               0               
38.5287         -90.0408        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
8.59855         0.0957378       0.0876161       0               0               
0.000865589     0.0352557       8.67233e-05     -0.000952312    0.0343901       
-0.000778866    -0.0361213      0               0               0               
0               120021          19759.6         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
51.8            0               1.079           0.200402        2841.24         
-90.0002        45.0092         0.00301208      6.08252         0.00384803      
6.08252         0.00040774      0.0104294       0.0157389       -0.000240794    
-1.18735e-05    -27.2328        -21.6223        68.2764         21.6223         
-90.0001        38.9302         0.0829456       -5.28152e-06    289.21          
30118.1         2.84605         2.7921          407.63          -0.0138811      
-0.109322       -6.37719        0               0               -12.9906        
0.708991        0.791897        0               -0.26879        -0.0531862      
-6.43048        -3.24184        19731.8         0               1               
0               0               0               0               0               
38.9225         -90.0381        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
10.3925         0.112047        0.0808162       0               0               
0.000724548     0.0356757       2.95894e-05     -0.000754137    0.0349511       
-0.000694959    -0.0364002      0               0               0               
0               120021          19731.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
51.9            0               1.179           0.229154        3712.97         
-90.0002        45.011          0.00418146      5.76432         0.00519703      
5.76432         0.000521973     0.0135998       0.02058         -0.000259382    
-1.94884e-05    -32.9103        -26.2361        78.055          26.2361         
-90.0001        39.2495         0.103318        -9.16971e-06    288.21          
30259           2.84105         2.7821          404.63          -0.017318       
-0.12485        -7.47073        0               0               -15.3948        
0.957449        1.06068         0               -0.271097       -0.0619411      
-7.53052        -3.79623        19703           0               1               
0               0               0               0               0               
39.2405         -90.036         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
12.3158         0.128667        0.0556373       0               0               
0.000577575     0.040629        -1.08784e-05    -0.000566696    0.0400514       
-0.000588453    -0.0412066      0               0               0               
0               120021          19703           0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
52              0               1.279           0.258157        4709.38         
-90.0003        45.0133         0.00568649      5.49887         0.00690303      
5.49887         0.000661491     0.0171731       0.027506        -0.000278933    
-3.00452e-05    -39.3234        -31.5019        87.9172         31.5019         
-90.0001        39.5169         0.125758        -1.50532e-05    287.21          
30400.2         2.83605         2.7721          401.63          -0.0208701      
-0.140467       -8.62098        0               0               -17.9595        
1.25296         1.37854         0               -0.274243       -0.0708107      
-8.68725        -4.37903        19673.3         0               1               
0               0               0               0               0               
39.5069         -90.0343        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
14.3676         0.145558        0               0               0               
0.000441395     0.0481194       -4.31986e-05    -0.000398196    0.047678        
-0.000484593    -0.0485608      0               0               0               
0               120021          19673.2         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
52.1            0               1.379           0.287409        5832.98         
-90.0003        45.0165         0.00756336      5.27005         0.00900376      
5.27005         0.000826995     0.0210744       0.0360922       -0.000301522    
-4.4135e-05     -46.4763        -37.4271        97.8621         37.4271         
-90.0001        39.7486         0.150194        -2.36437e-05    286.21          
30541.6         2.83105         2.7621          398.63          -0.0245336      
-0.156173       -9.82966        0               0               -20.6886        
1.5993          1.74917         0               -0.277981       -0.0798003      
-9.9024         -4.9911         19642.6         0               1               
0               0               0               0               0               
39.7376         -90.033         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
16.5509         0.162717        0               0               0               
0.000321915     0.0566807       -7.31582e-05    -0.000248757    0.0563587       
-0.000395074    -0.0570026      0               0               0               
0               120021          19642.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
52.2            0               1.479           0.316906        7086.18         
-90.0003        45.0206         0.00980163      5.06753         0.0114924       
5.06753         0.00101512      0.0180392       0.0459002       -0.000329118    
-6.24263e-05    -54.3731        -44.0194        107.888         44.0194         
-90.0001        39.955          0.176542        -3.56429e-05    285.21          
30683.3         2.82605         2.7521          395.63          -0.0283046      
-0.171964       -11.0985        0               0               -23.5863        
2.00037         2.1764          0               -0.28215        -0.0889143      
-11.1777        -5.6333         19610.9         0               1               
0               0               0               0               0               
39.9432         -90.032         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
18.869          0.180141        0               0               0               
-0.00407899     0.0653597       -0.000102525    0.00418151      0.0694387       
0.00397646      -0.0612807      0               0               0               
0               120021          19610.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
52.3            0               1.579           0.346646        8471.28         
-90.0004        45.0257         0.00981191      4.88445         0.0117877       
4.88445         0.00100369      -0.0129711      0.0565625       -0.000357259    
-8.60957e-05    -63.0179        -51.2866        117.995         51.2866         
-90.0002        40.143          0.2047          -4.26545e-05    284.21          
30825.2         2.82105         2.7421          392.63          -0.0321713      
-0.18784        -12.4293        0               0               -26.6563        
2.4602          2.66415         0               -0.286642       -0.0981568      
-12.5149        -6.3065         19578.3         0               1               
0               0               0               0               0               
40.1306         -90.0311        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
21.325          0.197828        0               0               0               
-0.00152199     0.0736166       -0.000118576    0.00164056      0.0751386       
0.00140341      -0.0720946      0               0               0               
0               120021          19578.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
52.4            0               1.679           0.376624        9990.41         
-90.0004        45.0319         0.00953705      4.71606         0.0118222       
4.71606         0.000971997     0.0168583       0.0678001       -0.000370942    
-0.000115637    -72.4143        -59.2362        128.18          59.2362         
-90.0002        40.3175         0.234557        -4.93179e-05    283.21          
30967.4         2.81605         2.7321          389.63          -0.0361343      
-0.203799       -13.8237        0               0               -29.9023        
2.98294         3.21645         0               -0.291381       -0.107531       
-13.9156        -7.01156        19544.6         0               1               
0               0               0               0               0               
40.3044         -90.0303        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
23.9219         0.215773        0               0               0               
0.00138281      0.0812189       -0.000131107    -0.0012517      0.0798361       
-0.00151391     -0.0826018      0               0               0               
0               120021          19544.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
52.5            0               1.779           0.406836        11645.6         
-90.0005        45.0392         0.00934196      4.559           0.0119509       
4.559           0.000949929     0.0042147       0.0794381       -0.000385744    
-0.000151963    -82.5657        -67.8762        138.441         67.8762         
-90.0002        40.4818         0.265986        -5.66384e-05    282.21          
31109.9         2.81105         2.7221          386.63          -0.0401891      
-0.219836       -15.2834        0               0               -33.3279        
3.57282         3.83742         0               -0.296312       -0.11704        
-15.3816        -7.74933        19510           0               1               
0               0               0               0               0               
40.4682         -90.0297        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
26.6623         0.233972        0               0               0               
0.00242561      0.0880809       -0.00013191     -0.0022937      0.0856553       
-0.00255752     -0.0905065      0               0               0               
0               120021          19509.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
52.6            0               1.879           0.437275        13438.5         
-90.0005        45.0478         0.00937507      4.41086         0.0123226       
4.41086         0.000947709     -0.000295636    0.0913432       -0.000398962    
-0.000196033    -93.4753        -77.2141        148.776         77.2141         
-90.0002        40.6384         0.298852        -6.56722e-05    281.21          
