1 input_SAM_RF_AC_Radar_#1_#2_#3.asc ' SAM2 vs AC2 ' Oct 23 2022 19:32:21
  0  0 99
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            stmarg_pitch    
realq1          realq2          wnq             zetq            realp           
gavail          gmax            wnr             stmarg_yaw      realr1          
realr2          prreal          dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            pacl            
wrcl            zrate           wnlagr          ancomx_test     alcomx_test     
dpx             dqx             drx             delx1           delx2           
delx3           delx4           miss            MISS1           MISS2           
MISS3           mode            dbt             psiptx          thtptx          
etax            zetx            aztbx           eltbx           dab             
ddab            snr_db          onax            epsic           ethtc           
psisb           thtsb           lamdqb          lamdrb          
135.4           0               0.042           0.0463339       152.26          
20              50              -2.41484e-06    0.974385        2.1369e-05      
0.974385        -2.65312e-07    -0.000120027    0.00012996      2.45141e-06     
0.421149        0.153286        -0.524829       15.7638         0.524829        
20              49.0025         0.000679578     -1.2643e-07     299.58          
1260.19         2.8979          2.8958          438.74          -0.0941633      
-0.0197265      -1.24983        0               0               -2.38652        
0.03559         0.03627         0               -0.242347       -0.0114044      
-1.25749        -0.634448       18433.6         0               1               
0               0               0               0               0               
48.8202         19.8454         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
1.90921         0.0244704       0               0               0               
-0.00200966     0.00209858      -0.000634044    0.0026437       0.00410824      
0.00137561      -8.89217e-05    0               0               0               
0               120021          18433.6         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
135.5           0               0.142           0.0468774       155.831         
20              50.0001         -2.6618e-05     3.22679         -4.83445e-05    
3.22679         -2.72123e-06    -0.000394983    0.00124312      8.24915e-06     
1.41573         0.515283        -1.69449        15.9588         1.69449         
20              46.7521         0.00231222      -1.17431e-07    298.58          
4260.63         2.8929          2.8858          435.74          -0.0746164      
-0.0211188      -1.27239        0               0               -2.42442        
0.0349494       0.0372622       0               -0.258171       -0.0107582      
-1.28201        -0.646383       18437.3         0               1               
0               0               0               0               0               
46.5667         19.8536         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
1.93954         0.0249171       0               0               0               
-0.0018486      0.0125446       -0.000579309    0.00242791      0.0143932       
0.00126929      -0.010696       0               0               0               
0               120021          18437.3         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
135.6           0               0.242           0.0504461       180.436         
20              50.0003         -7.73879e-05    5.10014         -0.000107979    
5.10014         -9.59902e-06    -0.00066879     0.00306407      1.39127e-05     
2.49642         0.908622        -2.87552        17.1833         2.87552         
20              44.8843         0.00424878      -1.11111e-07    297.58          
7261.08         2.8879          2.8758          432.74          -0.0575902      
-0.0238395      -1.38078        0               0               -2.63083        
0.0391724       0.0434203       0               -0.271251       -0.0109387      
-1.39283        -0.701885       18441           0               1               
0               0               0               0               0               
44.7045         19.867          0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
2.10466         0.026984        0               0               0               
-0.00171247     0.0281406       -0.000493775    0.00220625      0.029853        
0.0012187       -0.0264281      0               0               0               
0               120021          18441           0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
135.7           0               0.342           0.0570292       230.567         
20              50.0007         -0.000156432    6.36684         -0.000197592    
6.36684         -2.19117e-05    -0.000980815    0.00522066      1.97202e-05     
3.72428         1.35553         -4.14567        19.4334         4.14567         
20              43.6244         0.00680571      -9.98445e-08    296.58          
10261.6         2.8829          2.8658          429.74          -0.0430722      
-0.0280493      -1.5775         0               0               -3.01153        
0.049176        0.0559781       0               -0.278037       -0.0121002      
-1.59245        -0.802273       18444.5         0               1               
0               0               0               0               0               
43.4573         19.8825         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
2.40922         0.0306946       0               0               0               
-0.00159973     0.0424401       -0.000394194    0.00199392      0.0440398       
0.00120553      -0.0408404      0               0               0               
0               120021          18444.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
135.8           0               0.442           0.0666183       314.568         
20              50.0013         -0.000269844    7.03194         -0.000323948    
7.03194         -3.96586e-05    -0.0013751      0.00738656      2.58384e-05     
5.16076         1.87836         -5.58325        22.7062         5.58325         
20              42.9653         0.0102985       -7.13039e-08    295.58          
13262.1         2.8779          2.8558          426.74          -0.0315052      
-0.0338618      -1.86621        0               0               -3.57647        
0.0669521       0.0772431       0               -0.27849        -0.0143522      
-1.8845         -0.949427       18447.8         0               1               
0               0               0               0               0               
42.8149         19.8974         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
2.86118         0.0361092       0               0               0               
-0.00150121     0.0515176       -0.000297241    0.00179845      0.0530188       
0.00120397      -0.0500164      0               0               0               
0               120021          18447.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
135.9           0               0.542           0.0792173       444.715         
20              50.0021         -0.000428491    7.23433         -0.000498675    
7.23433         -6.27969e-05    -0.00190598     0.00922443      3.23258e-05     
6.86766         2.49962         -7.26719        27.003          7.26719         
20              42.7676         0.0150428       -4.43844e-09    294.58          
16262.7         2.8729          2.8458          423.74          -0.0256947      
-0.0412966      -2.25237        0               0               -4.34039        
0.0956821       0.110713        0               -0.274654       -0.0177608      
-2.27416        -1.14596        18450.8         0               1               
0               0               0               0               0               
42.6346         19.9106         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
3.47231         0.0434732       0               0               0               
-0.00140547     0.0541643       -0.000212931    0.0016184       0.0555698       
0.00119254      -0.0527589      0               0               0               
0               120021          18450.7         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
136             0               0.642           0.0948421       637.295         
20              50.0031         -0.000649143    7.13517         -0.000739484    
7.13517         -9.18518e-05    -0.00264089     0.0104283       3.91476e-05     
8.9071          3.24192         -9.27703        32.3292         9.27703         
20              42.87           0.0213548       1.36907e-07     293.58          
19263.5         2.8679          2.8358          420.74          -0.0174983      
-0.0504167      -2.74192        0               0               -5.32296        
0.139892        0.161232        0               -0.268956       -0.0223489      
-2.76812        -1.39523        18453.3         0               1               
0               0               0               0               0               
42.7535         19.9217         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
4.25837         0.0521667       0.0202227       0               0               
-0.0013035      0.0511792       -0.000144747    0.00144824      0.0524827       
0.00115875      -0.0498757      0               0               0               
0               120021          18453.2         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
136.1           0               0.742           0.113515        912.689         
20              50.0042         -0.000955845    6.86315         -0.00107148     
6.86315         -0.00012804     -0.00365982     0.0108499       4.62081e-05     
11.3416         4.12799         -11.693         38.6923         11.693          
20              43.1443         0.0295491       4.14761e-07     292.58          
22264.4         2.8629          2.8258          417.74          -0.00991259     
-0.0613211      -3.34321        0               0               -6.5487         
0.205656        0.235189        0               -0.263343       -0.0280964      
-3.37458        -1.70134        18455.2         0               1               
0               0               0               0               0               
43.0423         19.9307         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
5.23896         0.0624873       0.0592863       0               0               
-0.00119068     0.0444927       -9.19459e-05    0.00128262      0.0456834       
0.00109873      -0.043302       0               0               0               
0               120021          18455.2         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
136.2           0               0.842           0.135262        1295.44         
20              50.0053         -0.00138105     6.50473         -0.00152824     
6.50473         -0.000173127    -0.00505089     0.0106706       5.34192e-05     
14.2338         5.18068         -14.596         46.1007         14.596          
20              43.5044         0.0399363       9.33383e-07     291.58          
25265.5         2.8579          2.8158          414.74          -0.00785224     
-0.0737419      -4.06648        0               0               -8.04689        
0.300839        0.340762        0               -0.259121       -0.034942       
-4.10315        -2.06905        18456.5         0               1               
0               0               0               0               0               
43.4147         19.9379         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
6.43751         0.0748271       0.0787065       0               0               
-0.00106678     0.0366774       -5.21406e-05    0.00111892      0.0377442       
0.00101464      -0.0356106      0               0               0               
0               120021          18456.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
136.3           0               0.942           0.160109        1814.34         
20              50.0063         -0.00196618     6.11253         -0.00215228     
6.11253         -0.000229178    -0.00690291     0.0105485       6.08208e-05     
17.6469         6.42294         -18.0675        54.563          18.0675         
20              43.8978         0.05282         1.86363e-06     290.58          
28266.8         2.8529          2.8058          411.74          -0.00828573     
-0.0876504      -4.92245        0               0               -9.85166        
0.435396        0.488207        0               -0.25708        -0.0427857      
-4.96489        -2.50384        18457.1         0               1               
0               0               0               0               0               
43.8184         19.9438         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
7.88133         0.0889841       0.0918679       0               0               
-0.000935031    0.030503        -2.24095e-05    0.00095744      0.031438        
0.000912621     -0.029568       0               0               0               
0               120021          18457.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
136.4           0               1.042           0.187839        2496            
20.0001         50.0074         -0.00276134     5.72386         -0.00299494     
5.72386         -0.000298697    -0.00929563     0.011643        6.87343e-05     
21.6434         7.87754         -22.1891        64.0009         22.1891         
20              44.2871         0.0684064       3.47227e-06     289.58          
30066.8         2.8479          2.7958          408.74          -0.0110104      
-0.102808       -5.91506        0               0               -11.9831        
0.619895        0.688288        0               -0.257551       -0.051439       
-5.9637         -3.00757        18456.9         0               1               
0               0               0               0               0               
44.2166         19.9485         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
9.58652         0.10485         0.0938093       0               0               
-0.000798871    0.0284493       3.07907e-07     0.000798563     0.0292482       
0.000799179     -0.0276505      0               0               0               
0               120021          18456.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
136.5           0               1.142           0.216324        3308.53         
20.0001         50.0087         -0.00382151     5.40392         -0.00411244     
5.40392         -0.000387295    -0.0122222      0.0148035       7.78382e-05     
26.2605         9.55805         -27.0103        73.6887         27.0103         
20              44.6077         0.0860891       6.10138e-06     288.58          
30207.8         2.8429          2.7858          405.74          -0.0142681      
-0.118269       -6.97839        0               0               -14.3044        
0.849056        0.935106        0               -0.259575       -0.0603184      
-7.03332        -3.54682        18455.7         0               1               
0               0               0               0               0               
44.5442         19.9521         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
11.4435         0.121263        0.0843565       0               0               
-0.000653258    0.031168        1.92181e-05     0.00063404      0.0318213       
0.000672476     -0.0305148      0               0               0               
0               120021          18455.6         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
136.6           0               1.242           0.245062        4243.2          
20.0001         50.0104         -0.00519477     5.14122         -0.00555443     
5.14122         -0.000497737    -0.015573       0.0199519       8.91261e-05     
31.5041         11.4666         -32.5412        83.4607         32.5412         
20              44.8716         0.105658        1.02062e-05     287.58          
30349.1         2.8379          2.7758          402.74          -0.0176441      
-0.133825       -8.09713        0               0               -16.7827        
1.12333         1.22889         0               -0.262519       -0.0693058      
-8.15833        -4.11382        18453.6         0               1               
0               0               0               0               0               
44.8136         19.9549         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
13.4261         0.137945        0.0546622       0               0               
-0.00051438     0.0369202       3.73783e-05     0.000477001     0.0374345       
0.000551758     -0.0364058      0               0               0               
0               120021          18453.6         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
136.7           0               1.342           0.274051        5302.52         
20.0001         50.0128         -0.00691853     4.91763         -0.0073611      
4.91763         -0.000631019    -0.0192568      0.0267645       0.000103793     
37.3779         13.6044         -38.7895        93.3161         38.7895         
20              45.0972         0.127055        1.63569e-05     286.58          
30490.6         2.8329          2.7658          399.74          -0.0211351      
-0.149473       -9.27297        0               0               -19.4219        
1.44636         1.57322         0               -0.266104       -0.0784052      
-9.34044        -4.70942        18450.6         0               1               
0               0               0               0               0               
45.0434         19.9572         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
15.5375         0.154893        0               0               0               
-0.000391806    0.0441936       5.69856e-05     0.00033482      0.0445854       
0.000448791     -0.0438018      0               0               0               
0               120021          18450.6         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
136.8           0               1.442           0.303289        6488.93         
20.0001         50.0158         -0.00902296     4.72178         -0.00956677     
4.72178         -0.000787511    -0.0232244      0.0348512       0.000123038     
43.8852         15.9729         -45.7631        103.254         45.7631         
20              45.2959         0.150207        2.52329e-05     285.58          
30632.5         2.8279          2.7558          396.74          -0.0247376      
-0.165209       -10.5076        0               0               -22.2261        
1.82195         1.97182         0               -0.270154       -0.0876198      
-10.5813        -5.33448        18446.7         0               1               
0               0               0               0               0               
45.2455         19.959          0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
17.7809         0.172106        0               0               0               
-0.000286623    0.0519451       7.94125e-05     0.000207211     0.0522317       
0.000366036     -0.0516585      0               0               0               
0               120021          18446.6         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
136.9           0               1.542           0.332772        7804.73         
20.0001         50.0197         -0.0115352      4.54623         -0.012204       
4.54623         -0.000967334    -0.0274655      0.0438558       0.000147943     
51.0296         18.5733         -53.4697        113.273         53.4697         
20              45.4752         0.175028        3.76268e-05     284.58          
30774.6         2.8229          2.7458          393.74          -0.0284475      
-0.18103        -11.8028        0               0               -25.199         
2.254           2.42851         0               -0.274554       -0.0969526      
-11.8827        -5.98984        18441.9         0               1               
0               0               0               0               0               
45.4276         19.9606         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
20.1592         0.189579        0               0               0               
-0.000195868    0.0595418       0.000105377     9.0491e-05      0.0597376       
0.000301245     -0.0593459      0               0               0               
0               120021          18441.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
137             0               1.642           0.362498        9252.1          
20.0002         50.0246         -0.0144826      4.38588         -0.0153069      
4.38588         -0.00117057     -0.0319936      0.0535029       0.000179449     
58.814          21.4066         -61.9172        123.371         61.9172         
20.0001         45.6403         0.201421        5.44517e-05     283.58          
30916.9         2.8179          2.7358          390.74          -0.0322603      
-0.196933       -13.1602        0               0               -28.3444        
2.74654         2.94721         0               -0.279222       -0.106406       
-13.2463        -6.67636        18436.1         0               1               
0               0               0               0               0               
45.595          19.9619         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
22.6755         0.20731         0               0               0               
-0.000115546    0.0666586       0.000135168     -1.96218e-05    0.0667742       
0.000250713     -0.0665431      0               0               0               
0               120021          18436           0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
137.1           0               1.742           0.392462        10833.1         
20.0002         50.0304         -0.0178943      4.23718         -0.0189124      
4.23718         -0.00139735     -0.0368318      0.063598        0.000218401     
67.2414         24.4739         -71.1135        133.548         71.1135         
20.0001         45.7947         0.229277        7.67493e-05     282.58          
31059.6         2.8129          2.7258          387.74          -0.0361709      
-0.212915       -14.5814        0               0               -31.6657        
3.30371         3.53195         0               -0.284099       -0.115981       
-14.6737        -7.39486        18429.4         0               1               
0               0               0               0               0               
45.7514         19.9631         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
25.3326         0.225293        0               0               0               
-4.21474e-05    0.0731667       0.000168852     -0.000126705    0.0732088       
0.000210999     -0.0731245      0               0               0               
0               120021          18429.2         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
137.2           0               1.842           0.422659        12549.4         
20.0002         50.0373         -0.0218019      4.09757         -0.0230608      
4.09757         -0.00164781     -0.0420048      0.0740059       0.0002656       
76.3145         27.7762         -81.0664        143.8           81.0664         
20.0001         45.9411         0.258475        0.000105697     281.58          
31202.5         2.8079          2.7158          384.74          -0.0401736      
-0.228973       -16.0682        0               0               -35.1664        
3.92971         4.18682         0               -0.289144       -0.12568        
-16.1666        -8.14616        18421.7         0               1               
