tof posE posN posU tgtE tgtN tgtU normComm normAch pitchRate thetaRate pitchDefl alpha theta sideComm sideAch yawRate psiRate yawDefl beta psi rollComm phiRate rollRate rollDefl roll seekPitchErr seekYawErr staticMargin mach
0.0010000000 0.0007596044 0.0001339388 0.0006374094 3000.0000000000 0.0000000000 3000.0000000000 0.0000089338 -0.7660444431 0.0000000000 0.0000000000 0.0000000000 0.4301798790 40.0000000000 -0.0000116623 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 1.6071806649 0.0029385836
0.0020000000 0.0015296362 0.0002697161 0.0012738965 3000.0000000000 0.0000000000 3000.0000000000 0.0000096609 -0.7660431620 -0.0000001355 -0.0000001355 0.0000000000 0.8538954746 39.9999999999 -0.0000116680 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0000000048 -0.0000000145 1.4733059852 0.0029403892
0.0030000000 0.0023153124 0.0004082520 0.0019139063 3000.0000000000 0.0000000000 3000.0000000000 0.0000105237 -0.7660418611 -0.0000005442 -0.0000005442 0.0000000000 1.2626516938 39.9999999996 -0.0000118366 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0000000099 -0.0000000292 1.3724871690 0.0029627283
0.0040000000 0.0031218518 0.0005504667 0.0025618856 3000.0000000000 0.0000000000 3000.0000000000 0.0000115398 -0.7660405138 -0.0000012331 -0.0000012331 0.0000000000 1.6489112355 39.9999999987 -0.0000121713 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0000000155 -0.0000000441 1.2953113017 0.0030055430
0.0050000000 0.0039544756 0.0006972807 0.0032222829 3000.0000000000 0.0000000000 3000.0000000000 0.0000127296 -0.7660390933 -0.0000022150 -0.0000022150 0.0000000000 2.0065199404 39.9999999970 -0.0000126789 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0000000215 -0.0000000592 1.2355273239 0.0030688269
0.0060000000 0.0048184068 0.0008496151 0.0038995486 3000.0000000000 0.0000000000 3000.0000000000 0.0000141159 -0.7660375728 -0.0000035082 -0.0000035082 0.0000000000 2.3309593582 39.9999999941 -0.0000133697 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 10.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0000000279 -0.0000000748 1.1888312863 0.0031525694
0.0070000000 0.0057188707 0.0010083912 0.0045981350 3000.0000000000 0.0000000000 3000.0000000000 0.0000157242 -0.7660359257 -0.0000051370 -0.0000051370 0.0000000000 2.6194171208 39.9999999898 -0.0000142572 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0000000349 -0.0000000909 1.1521705523 0.0032567566
0.0080000000 0.0066610946 0.0011745307 0.0053224958 3000.0000000000 0.0000000000 3000.0000000000 0.0000175826 -0.7660341253 -0.0000071310 -0.0000071310 0.0000000000 2.8706971061 39.9999999837 -0.0000153584 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0000000425 -0.0000001076 1.1233256390 0.0033813740
0.0090000000 0.0076503080 0.0013489557 0.0060770869 3000.0000000000 0.0000000000 3000.0000000000 0.0000197217 -0.7660321449 -0.0000095256 -0.0000095256 0.0000000000 3.0850118439 39.9999999753 -0.0000166936 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0000000505 -0.0000001250 1.1006486052 0.0035264070
0.0100000000 0.0086917424 0.0015325887 0.0068663658 3000.0000000000 0.0000000000 3000.0000000000 0.0000221746 -0.7660299265 -0.0000123370 -0.0000123370 0.0000000000 3.2637069346 39.9999999644 -0.0000182866 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0000000592 -0.0000001433 1.0868697137 0.0036918425
