tof posE posN posU tgtE tgtN tgtU alpha beta lethality
0.0100000000 0.0070710678 0.0000000000 0.0070710678 6000.0000000000 6000.0000000000 6000.0000000000 0.0427901145 0.0000000000 0
0.0200000000 0.0190368279 0.0000000000 0.0180542406 6000.0000000000 6000.0000000000 6000.0000000000 0.0245744414 0.0000000000 0
0.0300000000 0.0412222681 0.0000000000 0.0374353270 6000.0000000000 6000.0000000000 6000.0000000000 0.0148985225 0.0000000000 0
0.0400000000 0.0791099007 0.0000000000 0.0695512280 6000.0000000000 6000.0000000000 6000.0000000000 0.0097472023 0.0000000000 0
0.0500000000 0.1382467118 0.0000000000 0.1186967410 6000.0000000000 6000.0000000000 6000.0000000000 0.0090735792 0.0000000000 0
0.0600000000 0.2027729436 0.0000000000 0.1713386587 6000.0000000000 6000.0000000000 6000.0000000000 0.0064667364 0.0000000000 0
0.0700000000 0.2944673353 0.0000000000 0.2451625080 6000.0000000000 6000.0000000000 6000.0000000000 0.0050230781 0.0000000000 0
0.0800000000 0.4136065990 0.0000000000 0.3401000391 6000.0000000000 6000.0000000000 6000.0000000000 0.0041053247 0.0000000000 0
0.0900000000 0.5604360733 0.0000000000 0.4561205070 6000.0000000000 6000.0000000000 6000.0000000000 0.0034700067 0.0000000000 0
0.1000000000 0.7351814494 0.0000000000 0.5932170486 6000.0000000000 6000.0000000000 6000.0000000000 0.0030039406 0.0000000000 0
0.1100000000 0.9380550168 0.0000000000 0.7513993539 6000.0000000000 6000.0000000000 6000.0000000000 0.0026473351 0.0000000000 0
0.1200000000 1.1692593794 0.0000000000 0.9306892703 6000.0000000000 6000.0000000000 6000.0000000000 0.0023656165 0.0000000000 0
0.1300000000 1.4289898430 0.0000000000 1.1311179598 6000.0000000000 6000.0000000000 6000.0000000000 0.0021373979 0.0000000000 0
0.1400000000 1.7174360385 0.0000000000 1.3527239531 6000.0000000000 6000.0000000000 6000.0000000000 0.0019487347 0.0000000000 0
0.1500000000 2.0347830760 0.0000000000 1.5955517604 6000.0000000000 6000.0000000000 6000.0000000000 0.0017901454 0.0000000000 0
0.1600000000 2.3812123922 0.0000000000 1.8596508455 6000.0000000000 6000.0000000000 6000.0000000000 0.0016549583 0.0000000000 0
0.1700000000 2.7569023921 0.0000000000 2.1450748448 6000.0000000000 6000.0000000000 6000.0000000000 0.0015383404 0.0000000000 0
0.1800000000 3.1620289454 0.0000000000 2.4518809619 6000.0000000000 6000.0000000000 6000.0000000000 0.0014367061 0.0000000000 0
0.1900000000 3.5967657791 0.0000000000 2.7801294863 6000.0000000000 6000.0000000000 6000.0000000000 0.0013473371 0.0000000000 0
0.2000000000 4.0612847921 0.0000000000 3.1298834060 6000.0000000000 6000.0000000000 6000.0000000000 0.0012681364 0.0000000000 0
0.2100000000 4.5557563113 0.0000000000 3.5012080906 6000.0000000000 6000.0000000000 6000.0000000000 0.0011974600 0.0000000000 0
0.2200000000 5.0803493046 0.0000000000 3.8941710292 6000.0000000000 6000.0000000000 6000.0000000000 0.0011340000 0.0000000000 0
0.2300000000 5.6352315554 0.0000000000 4.3088416099 6000.0000000000 6000.0000000000 6000.0000000000 0.0010767035 0.0000000000 0
0.2400000000 6.2205698127 0.0000000000 4.7452909344 6000.0000000000 6000.0000000000 6000.0000000000 0.0010247135 0.0000000000 0
0.2500000000 6.8365299177 0.0000000000 5.2035916596 6000.0000000000 6000.0000000000 6000.0000000000 0.0009773245 0.0000000000 0
0.2600000000 7.4832769110 0.0000000000 5.6838178610 6000.0000000000 6000.0000000000 6000.0000000000 0.0009339515 0.0000000000 0
0.2700000000 8.1609751266 0.0000000000 6.1860449139 6000.0000000000 6000.0000000000 6000.0000000000 0.0008941098 0.0000000000 0
0.2800000000 8.8697837340 0.0000000000 6.7103460278 6000.0000000000 6000.0000000000 6000.0000000000 0.0008574320 0.0000000000 0
0.2900000000 9.6098204496 0.0000000000 7.2567652795 6000.0000000000 6000.0000000000 6000.0000000000 0.0008235551 0.0000000000 0
0.3000000000 10.3812024458 0.0000000000 7.8253478526 6000.0000000000 6000.0000000000 6000.0000000000 0.0007921698 0.0000000000 0
0.3100000000 11.1840464113 0.0000000000 8.4161399614 6000.0000000000 6000.0000000000 6000.0000000000 0.0007630104 0.0000000000 0
0.3200000000 12.0184686036 0.0000000000 9.0291887831 6000.0000000000 6000.0000000000 6000.0000000000 0.0007358478 0.0000000000 0
0.3300000000 12.8845848975 0.0000000000 9.6645423982 6000.0000000000 6000.0000000000 6000.0000000000 0.0007104834 0.0000000000 0
