tof posE posN posU tgtE tgtN tgtU phi p rollRateError theta alphaRadians q pitchRateError psi betaRadians r yawRateError rollFinCommand rollFinDeflection pitchFinCommand pitchFinDeflection yawFinCommand yawFinDeflection vdot guidanceSideCommand wdot guidanceNormalCommand mach accelerationLimit staticMargin alphaPrimeDegrees seekerPitch seekerYaw seekerPitchError seekerYawError
0.0016666667 0.0010680940 0.0004980604 0.0011785113 4000.0000000000 4000.0000000000 4000.0000000000 0.0000000000 0.0000000000 0.0000000000 0.7853981634 -0.0000000000 0.0000000000 9.8259408671 0.4363323130 0.0000000000 0.0000000000 -0.0003558527 0.0000000000 0.0000000000 2.9969414423 0.0000000000 -0.0001192117 0.0000000000 0.0000000000 0.0000593088 0.0000000000 -0.0000114076 0.0029386349 50.0000000000 1.6069444444 0.0000000000 0.0000000000 0.0000000000 -0.0279399796 0.1458151423
0.0033333333 0.0021361879 0.0009961208 0.0023570225 4000.0000000000 4000.0000000000 4000.0000000000 0.0000000000 0.0000000000 0.0000000000 0.7853981634 0.0000000000 -0.0000000094 9.8259415547 0.4363323130 0.0000000000 0.0000000000 -0.0003558587 0.0000000000 0.0000000000 0.7861344347 0.0032724923 -0.0000391479 0.0000000000 0.0000000000 0.0000593098 0.0000031219 -0.0000114085 0.0029386347 50.0000000000 1.6073381452 0.0000000000 -0.0000028060 0.0000059517 -0.0279393850 0.1458119574
0.0050000000 0.0032247849 0.0015037419 0.0035581565 4000.0000000000 4000.0000000000 4000.0000000000 0.0000000000 0.0000000000 0.0000000000 0.7853981634 -0.0000000051 -0.0000000385 9.6408778404 0.4363323130 0.0000000000 0.0000000000 -0.0003627225 0.0000000000 0.0000000000 0.7297187698 0.0098174770 -0.0000414470 0.0000000000 -0.0000000000 0.0000616142 0.0000097319 -0.0000118553 0.0029950449 50.0000000000 1.6077318460 0.0000000000 -0.0000171588 0.0000381974 -0.0279363044 0.1457945586
0.0066666667 0.0043544020 0.0020304910 0.0048045511 4000.0000000000 4000.0000000000 4000.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.7853981633 -0.0000000203 -0.0000000909 9.2907914528 0.4363323130 -0.0000000000 -0.0000000000 -0.0003764803 0.0000000000 0.0000000000 0.6646096297 0.0163624617 -0.0000445127 0.0000000000 0.0000000000 0.0000663610 0.0000174710 -0.0000127777 0.0031079031 50.0000000000 1.6081251121 0.0000012074 -0.0000524631 0.0001237308 -0.0279286798 0.1457484057
0.0083333333 0.0055455697 0.0025859416 0.0061188593 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853981632 -0.0000000454 -0.0000001724 8.8107202932 0.4363323130 -0.0000000000 -0.0000000000 -0.0003971702 0.0000000000 0.0000000000 0.5969837954 0.0229074464 -0.0000483495 0.0000000000 0.0000000000 0.0000738225 0.0000272066 -0.0000142308 0.0032772466 50.0000000000 1.6085183255 0.0000025613 -0.0001125074 0.0002822155 -0.0279156294 0.1456629740
0.0100000000 0.0068188324 0.0031796738 0.0075237495 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853981629 -0.0000000807 -0.0000002921 8.2426497374 0.4363323130 -0.0000000000 -0.0000000000 -0.0004248331 0.0000000000 0.0000000000 0.5317630147 0.0294524311 -0.0000529626 0.0000000000 0.0000000000 0.0000844065 0.0000399810 -0.0000162967 0.0035031138 50.0000000001 1.6089112932 0.0000045977 -0.0001974732 0.0005256851 -0.0278970451 0.1455318746
0.0116666667 0.0081947481 0.0038212738 0.0090419049 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853981624 -0.0000001267 -0.0000004631 7.6277024468 0.4363323130 -0.0000000000 -0.0000000000 -0.0004595187 0.0000000000 0.0000000000 0.4720428492 0.0359974158 -0.0000583595 0.0000000000 0.0000000000 0.0000986585 0.0000570816 -0.0000190853 0.0037855420 50.0000000002 1.6093040412 0.0000072445 -0.0003069452 0.0008626042 -0.0278729612 0.1453506364
0.0133333333 0.0096938887 0.0045203345 0.0106960241 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853981616 -0.0000001845 -0.0000007029 7.0007434033 0.4363323130 -0.0000000000 -0.0000000000 -0.0005012867 0.0000000000 0.0000000000 0.4192044836 0.0425424005 -0.0000645490 0.0000000000 0.0000000000 0.0001172649 0.0000801111 -0.0000227360 0.0041245692 50.0000000004 1.6096965482 0.0000105606 -0.0004402795 0.0012987403 -0.0278434746 0.1451162356
0.0150000000 0.0113368395 0.0052864551 0.0125088207 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853981604 -0.0000002559 -0.0000010353 6.3879736900 0.4363323130 -0.0000000000 -0.0000000000 -0.0005502075 0.0000000000 0.0000000000 0.3733946697 0.0490873852 -0.0000715413 0.0000000000 0.0000000000 0.0001410556 0.0001110580 -0.0000274184 0.0045202337 50.0000000007 1.6100887717 0.0000146640 -0.0005966807 0.0018376342 -0.0278087271 0.1448268446
0.0166666667 0.0131442000 0.0061292411 0.0145030238 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853981587 -0.0000003432 -0.0000014912 5.8069008190 0.4363323130 -0.0000000000 -0.0000000000 -0.0006063621 0.0000000000 0.0000000000 0.3340580503 0.0556323699 -0.0000793478 0.0000000000 0.0000000000 0.0001710079 0.0001523675 -0.0000333336 0.0049725729 50.0000000012 1.6104806690 0.0000196739 -0.0007752407 0.0024809759 -0.0277688949 0.1444816304
0.0183333333 0.0151365833 0.0070583047 0.0167013774 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853981562 -0.0000004492 -0.0000021105 5.2676654836 0.4363323130 -0.0000000000 -0.0000000000 -0.0006698419 0.0000000000 0.0000000000 0.3003484719 0.0621773546 -0.0000879808 0.0000000000 0.0000000000 0.0002082498 0.0002070131 -0.0000407152 0.0054816250 50.0000000020 1.6108721857 0.0000257410 -0.0009749702 0.0032289271 -0.0277241803 0.1440805827
0.0200000000 0.0173346161 0.0080832642 0.0191266410 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853981527 -0.0000005773 -0.0000029436 4.7748440907 0.4363323130 -0.0000000000 -0.0000000000 -0.0007407484 0.0000000000 0.0000000000 0.2713802221 0.0687223393 -0.0000974537 0.0000000000 0.0000000000 0.0002540647 0.0002785676 -0.0000498312 0.0060474272 50.0000000032 1.6112632454 0.0000330775 -0.0011948235 0.0040803985 -0.0276748052 0.1436243640
0.0216666667 0.0197589390 0.0092137446 0.0218015892 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853981478 -0.0000007315 -0.0000040536 4.3291803338 0.4363323130 -0.0000000000 -0.0000000000 -0.0008191919 0.0000000000 0.0000000000 0.2463505772 0.0752673240 -0.0001077808 0.0000000000 0.0000000000 0.0003098958 0.0003712755 -0.0000609853 0.0066700182 50.0000000050 1.6116537654 0.0000419132 -0.0014337203 0.0050332882 -0.0276210048 0.1431141812
0.0233333333 0.0224302065 0.0104593771 0.0247490121 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853981411 -0.0000009162 -0.0000055187 3.9290008752 0.4363323130 -0.0000000000 -0.0000000000 -0.0009052912 0.0000000000 0.0000000000 0.2245819746 0.0818123087 -0.0001189769 0.0000000000 0.0000000000 0.0003773509 0.0004901250 -0.0000745183 0.0073494362 50.0000000077 1.6120436582 0.0000524915 -0.0016905634 0.0060846869 -0.0275630232 0.1425516751
0.0250000000 0.0253690867 0.0118297994 0.0279917149 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853981319 -0.0000011364 -0.0000074340 3.5712612561 0.4363323130 -0.0000000000 -0.0000000000 -0.0009991722 0.0000000000 0.0000000000 0.2055224828 0.0883572934 -0.0001310577 0.0000000000 0.0000000000 0.0004582073 0.0006409206 -0.0000908098 0.0080857193 50.0000000116 1.6124328162 0.0000651111 -0.0019642530 0.0072310526 -0.0275011088 0.1419388251
0.0266666667 0.0285962617 0.0133346558 0.0315525182 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853981195 -0.0000013976 -0.0000099147 3.2522635747 0.4363323130 -0.0000000000 -0.0000000000 -0.0011009674 0.0000000000 0.0000000000 0.1887293611 0.0949022781 -0.0001440392 0.0000000000 0.0000000000 0.0005544174 0.0008303551 -0.0001102802 0.0088789053 50.0000000174 1.6128211294 0.0000800774 -0.0022536988 0.0084683601 -0.0274355113 0.1412778684
