TOF RNG CROSSRNG ALT PHI THETA PSI ROLLRATE PITCHRATE YAWRATE ALPHA BETA ALPHADOT BETADOT PDOT QDOT RDOT UDOT VDOT WDOT
0.0000 0.0000 0.0000 10000.0000 0.0000 0.0175 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 10000.0000 0.0000 0.0175 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.1072 0.0000 -16.0391 0.0000 0.0000 -3.0953 0.0000 -32.1642
0.0017 0.4999 0.0000 10000.0087 6.2832 0.0175 0.0000 0.0533 -0.0000 0.0000 0.0002 0.0000 0.1071 0.0000 79.9842 -0.0035 0.0000 251.1863 -0.0007 -32.1579
0.0033 1.0005 -0.0000 10000.0173 0.0002 0.0175 -0.0000 0.2667 -0.0000 -0.0000 0.0004 0.0000 0.1069 0.0000 176.0045 -0.0069 -0.0000 505.7008 -0.0071 -32.1516
0.0050 1.5026 -0.0000 10000.0258 0.0009 0.0175 -0.0000 0.6400 -0.0000 -0.0000 0.0005 0.0000 0.1065 0.0001 272.0210 -0.0105 -0.0000 760.4484 -0.0293 -32.1451
0.0067 2.0067 -0.0000 10000.0343 0.0024 0.0175 -0.0000 1.1734 -0.0000 -0.0000 0.0007 0.0000 0.1059 0.0002 368.0322 -0.0141 -0.0000 1015.4293 -0.0758 -32.1385
0.0083 2.5137 -0.0000 10000.0428 0.0048 0.0175 -0.0000 1.8668 -0.0001 -0.0000 0.0009 0.0000 0.1052 0.0005 464.0359 -0.0178 -0.0000 1270.6439 -0.1551 -32.1314
0.0100 3.0242 -0.0000 10000.0512 0.0086 0.0175 -0.0000 2.7202 -0.0001 -0.0000 0.0011 0.0000 0.1043 0.0009 560.0295 -0.0216 -0.0000 1526.0922 -0.2758 -32.1236
0.0117 3.5389 -0.0000 10000.0596 0.0139 0.0175 -0.0000 3.7336 -0.0001 -0.0000 0.0012 0.0000 0.1033 0.0014 656.0094 -0.0256 -0.0001 1781.7744 -0.4466 -32.1144
0.0133 4.0586 -0.0000 10000.0680 0.0210 0.0175 -0.0000 4.8605 -0.0002 -0.0000 0.0014 0.0000 0.1022 0.0022 677.6374 -0.0298 -0.0001 1840.7781 -0.6759 -32.1029
0.0150 4.5834 -0.0000 10000.0764 0.0301 0.0175 -0.0000 5.9924 -0.0002 -0.0000 0.0016 0.0000 0.1011 0.0031 680.6723 -0.0341 -0.0002 1850.5848 -0.9664 -32.0877
0.0167 5.1134 -0.0000 10000.0848 0.0410 0.0175 -0.0000 7.1294 -0.0003 -0.0000 0.0017 0.0000 0.1000 0.0041 683.6960 -0.0384 -0.0004 1860.4001 -1.3175 -32.0672
0.0183 5.6486 -0.0000 10000.0932 0.0538 0.0175 -0.0000 8.2714 -0.0004 -0.0000 0.0019 0.0000 0.0989 0.0054 686.7082 -0.0430 -0.0006 1870.2238 -1.7294 -32.0395
0.0200 6.1890 -0.0000 10000.1016 0.0686 0.0175 -0.0000 9.4184 -0.0004 -0.0000 0.0021 0.0000 0.0978 0.0068 689.7088 -0.0476 -0.0008 1880.0559 -2.2021 -32.0021
0.0217 6.7346 -0.0000 10000.1100 0.0852 0.0174 -0.0000 10.5705 -0.0005 -0.0000 0.0022 0.0000 0.0966 0.0083 692.6976 -0.0523 -0.0011 1889.8966 -2.7356 -31.9523
0.0233 7.2854 -0.0000 10000.1184 0.1038 0.0174 -0.0000 11.7274 -0.0006 -0.0000 0.0024 0.0001 0.0954 0.0100 695.6745 -0.0572 -0.0015 1899.7457 -3.3297 -31.8871
0.0250 7.8415 -0.0000 10000.1268 0.1243 0.0174 -0.0000 12.8894 -0.0007 -0.0000 0.0026 0.0001 0.0941 0.0119 698.6392 -0.0622 -0.0020 1909.6033 -3.9842 -31.8029
0.0267 8.4030 -0.0000 10000.1352 0.1468 0.0174 -0.0000 14.0562 -0.0008 -0.0000 0.0027 0.0001 0.0928 0.0139 701.5915 -0.0673 -0.0025 1919.4693 -4.6985 -31.6961
0.0283 8.9697 -0.0000 10000.1437 0.1712 0.0174 -0.0000 15.2280 -0.0009 -0.0000 0.0029 0.0001 0.0914 0.0160 704.5313 -0.0725 -0.0032 1929.3439 -5.4721 -31.5624
0.0300 9.5418 -0.0000 10000.1521 0.1975 0.0174 -0.0000 16.4047 -0.0011 -0.0000 0.0030 0.0002 0.0900 0.0183 707.4584 -0.0779 -0.0040 1939.2270 -6.3038 -31.3973
0.0317 10.1193 -0.0000 10000.1605 0.2259 0.0174 -0.0000 17.5862 -0.0012 -0.0000 0.0032 0.0002 0.0884 0.0206 710.3726 -0.0833 -0.0049 1949.1185 -7.1925 -31.1961
0.0333 10.7023 -0.0000 10000.1690 0.2561 0.0174 -0.0000 18.7726 -0.0013 -0.0000 0.0033 0.0002 0.0867 0.0231 713.2737 -0.0889 -0.0060 1959.0186 -8.1366 -30.9535
0.0350 11.2906 -0.0000 10000.1774 0.2884 0.0174 -0.0000 19.9638 -0.0015 -0.0001 0.0035 0.0003 0.0849 0.0257 716.1616 -0.0945 -0.0072 1968.9271 -9.1339 -30.6641
