tof posE posN posU tgtE tgtN tgtU normComm normAch sideComm sideAch p q r phi alpha beta fin1c fin2c fin3c fin4c fin1d fin2d fin3d fin4d
0.0 100.0 100.0 1.0 3000.0 3000.0 3000.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.008 100.00557091392255 100.00098230243175 1.0056568542494924 3000.0 3000.0 3000.0 -2.6682435788919164e-06 -0.7071067811865477 2.462140072510698e-05 0.0 0.0 0.0 0.0 0.0 0.05878626864825537 -5.36912182653901e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.016 100.0111418987628 100.0019646173682 1.0106849248430094 3000.0 3000.0 3000.0 7.68009349135084e-07 -0.7070977586391815 2.2072426606618888e-05 9.454229926453102e-22 2.0716295427474098e-22 -2.476166210200385e-07 1.0059843785091883e-23 0.0 0.12442034287365136 -1.2842989802725135e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.024 100.01671295145043 100.00294694426798 1.0150842166880758 3000.0 3000.0 3000.0 3.844522701091537e-06 -0.7070887776464977 1.9743253985828284e-05 2.4200481638523527e-21 1.2661796963637716e-21 -6.235028893341561e-07 -1.396697879758951e-23 1.737782384478663e-24 0.19750032370662032 -2.2142723959707708e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.032 100.02228406883529 100.00392928257563 1.018854734574065 3000.0 3000.0 3000.0 6.604516704071734e-06 -0.7070807362588197 1.763319459818164e-05 3.837722392473184e-21 2.7049094874891276e-21 -1.14222890502164e-06 -5.833486174050645e-23 1.1755484116782703e-23 0.278448017223942 -4.2493689303823024e-17 -3.762202398832736e-06 -3.762202398832737e-06 -3.7622023988335763e-06 -3.762202398833577e-06 0.0 0.0 0.0 0.0
0.04 100.02785524808412 100.00491163179156 1.0219964827776136 3000.0 3000.0 3000.0 9.101208118192274e-06 -0.7070753304682076 1.5739868158615465e-05 6.849508085798797e-21 7.252655702927003e-21 -1.6269895535622153e-06 -2.394574602140419e-22 3.292808102185657e-23 0.07893568020359355 5.806752048572015e-18 -4.9985953501192175e-06 -4.9985953501192175e-06 -4.998595350124647e-06 -4.998595350124647e-06 -6.019523838132378e-07 -6.019523838132379e-07 -6.019523838133723e-07 -6.019523838133724e-07
0.048 100.04897637279443 100.0086358559409 1.0402992315067259 3000.0 3000.0 3000.0 2.6203455227714593e-06 -0.7069345138119895 3.1259822686964566e-05 -1.6084432913563014e-20 6.541839065322271e-22 -5.6164076534372035e-06 -1.7035749548870462e-22 8.903366659668137e-23 0.053314039200648485 -7.566013982366026e-18 -7.569572480442127e-07 -7.569572480442125e-07 -7.569572480448963e-07 -7.569572480448961e-07 -2.774179074926495e-06 -2.7741790749264954e-06 -2.774179074927805e-06 -2.774179074927805e-06
0.056 100.0856473637919 100.01510194106307 1.0737630253168575 3000.0 3000.0 3000.0 2.0747425483139613e-05 -0.7067513336013314 0.0009657926361477358 5.625546473811822e-20 -2.936061302207331e-21 -1.6095784462313034e-05 8.264315620990137e-22 9.290427396401518e-23 0.04327240287444605 4.895689701566996e-18 -3.3109479884707084e-06 -3.3109479884707067e-06 -3.3109479884712446e-06 -3.310947988471243e-06 -5.078988124810901e-06 -5.078988124810902e-06 -5.078988124814381e-06 -5.078988124814381e-06
0.064 100.13786809800854 100.02430986545787 1.122387901751015 3000.0 3000.0 3000.0 -5.881692600572948e-06 -0.7065205831716359 0.001994395402905346 -7.514739390965868e-20 -4.719036728034382e-20 -3.3846853405996804e-05 -6.008679966057914e-22 7.602722310100459e-23 0.03791311722922793 -2.152836955237045e-17 -8.11702436660893e-06 -8.11702436660893e-06 -8.117024366608981e-06 -8.117024366608981e-06 -4.6517226279288105e-06 -4.651722627928811e-06 -4.651722627932764e-06 -4.651722627932764e-06
0.07200000000000001 100.20563840652792 100.03625959934077 1.1861738931176613 3000.0 3000.0 3000.0 -5.424036000481394e-05 -0.7062516843924859 0.0033920787019540485 5.595497178189348e-19 -9.379481905588544e-21 -6.0300163601491473e-05 1.0074706639198846e-20 -3.063026777509515e-22 0.03457950460325256 -2.392785116519417e-17 -1.7293802754200036e-05 -1.7293802754200036e-05 -1.729380275420001e-05 -1.729380275420001e-05 -2.8389526836242157e-06 -2.8389526836242153e-06 -2.8389526836254947e-06 -2.838952683625494e-06
0.08000000000000002 100.2889580794373 100.05095110569849 1.2651210214314537 3000.0 3000.0 3000.0 -0.00012434425332330106 -0.7059535042598036 0.005158874886322491 9.269883442770261e-19 1.1734862822406428e-19 -9.698261270061111e-05 2.8100975232454115e-20 -3.0074080846266225e-22 0.03230479805219365 -1.215425535178474e-18 -2.8920550054001795e-05 -2.8920550054001795e-05 -2.8920550054001138e-05 -2.8920550054001138e-05 -5.419388732239504e-06 -5.419388732239502e-06 -5.419388732237411e-06 -5.419388732237411e-06
0.08800000000000002 100.38782687051113 100.06838434111484 1.3592292934829304 3000.0 3000.0 3000.0 -0.00021620849548272932 -0.7056363063040221 0.0072948255602302454 1.2031180236927714e-20 2.141680907219065e-19 -0.000145386636394198 2.93940406350086e-20 8.628558226915965e-22 0.03065285513737504 -1.698197062216557e-17 -4.2794984436972204e-05 -4.279498443697222e-05 -4.279498443697218e-05 -4.279498443697219e-05 -1.6510117874695854e-05 -1.651011787469585e-05 -1.651011787469296e-05 -1.651011787469296e-05
0.09600000000000003 100.50224450266465 100.08855925673228 1.4684986950938843 3000.0 3000.0 3000.0 -0.0003298484316207261 -0.7053119595641841 0.009799981818587834 1.1951644788617412e-18 3.261227708311154e-19 -0.000206975166381945 5.352332980841338e-20 2.8113510554696265e-21 0.02939804137754692 -8.693517096835089e-18 -5.8875033381445125e-05 -5.887503338144518e-05 -5.887503338144617e-05 -5.887503338144622e-05 -3.3983720794372366e-05 -3.3983720794372366e-05 -3.3983720794371716e-05 -3.398372079437172e-05
0.10400000000000004 100.63221067428265 100.11147579936792 1.5929291844558664 3000.0 3000.0 3000.0 -0.0004652791829960804 -0.704993717067906 0.012674404512295743 6.92109031463247e-19 2.55672653129381e-19 -0.00028321270619792503 6.945877310333396e-20 5.8485127264230314e-21 0.02841190240993601 -1.4431931651000547e-18 -7.712085281973983e-05 -7.712085281973988e-05 -7.712085281974127e-05 -7.712085281974132e-05 -5.161525088459652e-05 -5.161525088459653e-05 -5.1615250884598727e-05 -5.161525088459874e-05
0.11200000000000004 100.77772506632279 100.13713391276599 1.7325206846548904 3000.0 3000.0 3000.0 -0.0006225148256424538 -0.7046963855892714 0.015918164472291402 -2.8812177217138663e-20 5.20887259492099e-20 -0.000375578155217197 7.300227678713938e-20 8.44954582800936e-21 0.02761593098293755 -2.0107216667133365e-18 -9.749622432936551e-05 -9.749622432936559e-05 -9.749622432936735e-05 -9.749622432936744e-05 -6.583960147672672e-05 -6.583960147672677e-05 -6.583960147672981e-05 -6.583960147672985e-05
0.12000000000000005 100.93878735026338 100.16553353899924 1.8872730753099092 3000.0 3000.0 3000.0 -0.000801567347318225 -0.7044367459104657 0.019531342696293422 7.738849905753553e-20 -7.636131805670593e-20 -0.0004855241641964325 7.90623686593741e-20 9.45024050071603e-21 0.026959442096670918 -1.510168628046786e-17 -0.0001199799989487104 -0.00011997999894871048 -0.0001199799989487118 -0.00011997999894871189 -7.94341211763382e-05 -7.943412117633828e-05 -7.94341211763399e-05 -7.943412117633997e-05
0.12800000000000006 101.11539719707933 100.19667462005168 2.057186183137549 3000.0 3000.0 3000.0 -0.0010024453849095203 -0.7042335788178851 0.023514030543442272 2.4540831100400236e-18 5.875402968616677e-20 -0.0006144177325227147 1.2993796273679112e-19 9.47179977617563e-21 0.026408252232613397 -1.6902052284959215e-17 -0.0001445641853533616 -0.00014456418535336167 -0.00014456418535336226 -0.00014456418535336232 -9.814842957862122e-05 -9.814842957862131e-05 -9.814842957862126e-05 -9.814842957862134e-05
